_vocab,finance,medicine,sports,technology
ringer,0.21003615856170654,0.2113002985715866,0.13441236317157745,0.205777108669281
actuator,0.22436876595020294,0.21109794080257416,0.19457057118415833,0.36817634105682373
brisket,0.1957710087299347,0.16336466372013092,0.1719498634338379,0.281732976436615
boxand,0.3190995454788208,0.3228479027748108,0.23718255758285522,0.29274624586105347
landholding,0.35230275988578796,0.3175472021102905,0.3731524646282196,0.3501710891723633
dann,0.15448972582817078,0.14181464910507202,0.17102858424186707,0.2613389790058136
apprehension,0.5751243233680725,0.5558221936225891,0.3576335608959198,0.518110454082489
seasonlong,0.2724546492099762,0.2367129772901535,0.21602699160575867,0.25653398036956787
floor,0.5274966955184937,0.4937163293361664,0.3960631489753723,0.4951896369457245
ridder,0.12270013242959976,0.11962594836950302,0.13099850714206696,0.2874733805656433
auto,0.5387054085731506,0.48885536193847656,0.41440579295158386,0.5257266759872437
jeered,0.23756290972232819,0.18764016032218933,0.23145359754562378,0.1817164570093155
mississauga,0.2397565096616745,0.2208120971918106,0.2734573185443878,0.24021409451961517
outdoors,0.586894690990448,0.5169079899787903,0.5469510555267334,0.5527394413948059
stentmaking,0.2983900308609009,0.3653201758861542,0.1583167165517807,0.2519288659095764
longestablished,0.2331966608762741,0.21851398050785065,0.2053411900997162,0.3903990089893341
carolinabased,0.26456373929977417,0.245126411318779,0.23854194581508636,0.29756438732147217
obvious,0.44184401631355286,0.42148783802986145,0.3188393712043762,0.49608781933784485
optional,0.47496822476387024,0.44159987568855286,0.35728907585144043,0.498630166053772
remission,0.2981603145599365,0.29155340790748596,0.2868447005748749,0.37839141488075256
vitriolic,0.29035377502441406,0.3120301067829132,0.1837209165096283,0.2580028176307678
cassatt,0.12164799869060516,0.11054088920354843,0.1851707398891449,0.3229600787162781
specie,0.2671931982040405,0.23917508125305176,0.21606655418872833,0.37640663981437683
rightist,0.30512309074401855,0.2614930272102356,0.1517120748758316,0.2866074740886688
concocted,0.23818404972553253,0.22738203406333923,0.21925583481788635,0.41678327322006226
lateinning,0.30940738320350647,0.27393901348114014,0.20998911559581757,0.36602267622947693
duringhop,0.4171901345252991,0.3513629734516144,0.317460834980011,0.4347025156021118
cordys,0.3076190948486328,0.296276718378067,0.1959095150232315,0.3348827362060547
thplaced,0.21635258197784424,0.20709499716758728,0.18278290331363678,0.24787692725658417
toro,0.5072630643844604,0.46924445033073425,0.3292258083820343,0.5186288952827454
softbank,0.3403167426586151,0.30656352639198303,0.1916545331478119,0.31307128071784973
injected,0.4575481116771698,0.42458370327949524,0.3346835970878601,0.45600253343582153
reconstruct,0.39407071471214294,0.3639945685863495,0.29556021094322205,0.36533263325691223
seules,0.3175339996814728,0.2930005192756653,0.19434425234794617,0.31138646602630615
extremism,0.3053465187549591,0.2906024754047394,0.24041301012039185,0.2926766574382782
securitycamera,0.40489643812179565,0.35047611594200134,0.3236687183380127,0.4862361252307892
irreverence,0.2224264293909073,0.20928899943828583,0.2518676817417145,0.33423009514808655
mond,0.15110079944133759,0.1217619776725769,0.14847993850708008,0.3455781042575836
airlifting,0.286409854888916,0.30031952261924744,0.2539549469947815,0.3886720836162567
negotiate,0.5876450538635254,0.5253952741622925,0.41434237360954285,0.5788344144821167
