_vocab,finance,medicine,sports,technology
wall,0.517497718334198,0.4607827365398407,0.37982457876205444,0.507666826248169
street,0.4432956278324127,0.41156986355781555,0.3867591619491577,0.5340636968612671
dwindling,0.2664196491241455,0.2764141857624054,0.2298886924982071,0.30071789026260376
band,0.5261769890785217,0.5474400520324707,0.4919154942035675,0.5555723309516907
seeing,0.47058263421058655,0.4581298530101776,0.322103887796402,0.5113865733146667
green,0.4750731289386749,0.44780346751213074,0.4772636890411377,0.5447584986686707
private,0.5661129951477051,0.5405775308609009,0.4119952321052551,0.526810884475708
investment,0.6963607668876648,0.5569228529930115,0.4284404516220093,0.6785169243812561
firm,0.5254476070404053,0.48118796944618225,0.36238470673561096,0.5255305171012878
group,0.5334835052490234,0.4534796476364136,0.4035508930683136,0.5553452372550964
reputation,0.5180221199989319,0.495248407125473,0.3545239567756653,0.5348853468894958
making,0.49555397033691406,0.4716837704181671,0.35485750436782837,0.5585250854492188
occasionally,0.5453766584396362,0.5086525082588196,0.3661331534385681,0.5027554035186768
controversial,0.5434612035751343,0.5364862680435181,0.36820316314697266,0.5082466006278992
plays,0.437848836183548,0.4283965826034546,0.38105282187461853,0.41079095005989075
defense,0.6280080676078796,0.5400633215904236,0.43463367223739624,0.592759907245636
industry,0.7237955927848816,0.7427123188972473,0.6196838021278381,0.7473191022872925
quietly,0.4559371769428253,0.4462263584136963,0.35251402854919434,0.539171576499939
placed,0.4621640145778656,0.40439143776893616,0.31372401118278503,0.4244329333305359
bets,0.5383402109146118,0.46921664476394653,0.3257182240486145,0.44891974329948425
another,0.46679526567459106,0.4495989978313446,0.33952370285987854,0.48411041498184204
part,0.37930116057395935,0.35374534130096436,0.35764792561531067,0.5283396244049072
market,0.5818347334861755,0.5612277388572693,0.38518190383911133,0.5867263078689575
soaring,0.5598383545875549,0.5407493114471436,0.3710228204727173,0.5082587599754333
crude,0.5461607575416565,0.5313176512718201,0.36035624146461487,0.5580542087554932
prices,0.5867629051208496,0.5334911346435547,0.3539546728134155,0.5281893610954285
plus,0.46338963508605957,0.42896348237991333,0.33220723271369934,0.4959588050842285
worries,0.4727320969104767,0.4487874209880829,0.3357635736465454,0.4625133275985718
economy,0.7148844003677368,0.6930079460144043,0.5094374418258667,0.6579067707061768
outlook,0.5489488244056702,0.47757792472839355,0.3808468282222748,0.526475191116333
earnings,0.6005364060401917,0.5044687390327454,0.40554431080818176,0.5254142880439758
expected,0.4856588542461395,0.4751586318016052,0.32938235998153687,0.4762026369571686
hang,0.42285728454589844,0.37751930952072144,0.38465213775634766,0.4109868109226227
stock,0.5193638801574707,0.44364145398139954,0.3327564597129822,0.4884556233882904
next,0.4711674749851227,0.3848663568496704,0.3649407923221588,0.5187427997589111
week,0.427242249250412,0.41707462072372437,0.3422042429447174,0.4182172119617462
depth,0.5562703013420105,0.5306410789489746,0.359948068857193,0.5299703478813171
summer,0.5294209718704224,0.4910964369773865,0.41906172037124634,0.4591575860977173
doldrums,0.3349122703075409,0.2990873157978058,0.24336768686771393,0.32004180550575256
authorities,0.6199803948402405,0.6138433814048767,0.5037287473678589,0.5444464087486267
halted,0.4597902297973633,0.44047075510025024,0.31288638710975647,0.43561193346977234
oil,0.6251976490020752,0.6430181264877319,0.4382511377334595,0.5969298481941223
export,0.6186444759368896,0.601327657699585,0.4699653089046478,0.6203711032867432
flows,0.5700393915176392,0.5245837569236755,0.35313165187835693,0.5335949063301086
main,0.5381336212158203,0.5146504640579224,0.48724305629730225,0.4849061369895935
pipeline,0.5665903091430664,0.5303303599357605,0.37389111518859863,0.5910854935646057
southern,0.5449555516242981,0.5033988952636719,0.3551475703716278,0.5309858322143555
iraq,0.5504239797592163,0.5014159679412842,0.40260159969329834,0.46857139468193054
intelligence,0.6621643900871277,0.5943146347999573,0.5488495230674744,0.676689088344574
showed,0.44986262917518616,0.42137962579727173,0.3547922670841217,0.4768553674221039
rebel,0.4964793026447296,0.49701160192489624,0.3634127080440521,0.4363883435726166
militia,0.5492165088653564,0.5549339652061462,0.4041414260864258,0.5330209136009216
could,0.3909183442592621,0.4024289548397064,0.31200090050697327,0.48418524861335754
strike,0.5054047703742981,0.45200830698013306,0.3342915177345276,0.4866319000720978
infrastructure,0.712124228477478,0.6290441155433655,0.5898454785346985,0.6753203272819519
official,0.48296257853507996,0.503695547580719,0.4389681816101074,0.44376158714294434
said,0.40464621782302856,0.3931282162666321,0.33616960048675537,0.4044354557991028
saturday,0.511527419090271,0.4411550760269165,0.44801151752471924,0.44824016094207764
world,0.5139573812484741,0.4703834056854248,0.4222649335861206,0.5275278091430664
toppling,0.30014583468437195,0.23347370326519012,0.24581335484981537,0.3153049349784851
records,0.2943052053451538,0.26064324378967285,0.3448586165904999,0.3859352171421051
straining,0.45105794072151184,0.437989205121994,0.33989667892456055,0.4870227873325348
wallets,0.341237872838974,0.32534274458885193,0.23766617476940155,0.33901694416999817
present,0.4527488648891449,0.3733329176902771,0.35854747891426086,0.4021838307380676
new,0.4537569582462311,0.4672551453113556,0.42902421951293945,0.5057670474052429
economic,0.7483041882514954,0.6840047240257263,0.511802613735199,0.6794523000717163
menace,0.5082114338874817,0.4868929088115692,0.3405959904193878,0.515863835811615
barely,0.48054414987564087,0.45620912313461304,0.33478665351867676,0.4908665716648102
three,0.43086108565330505,0.3716048300266266,0.313767671585083,0.4302371144294739
months,0.4323351979255676,0.3981533646583557,0.3170100450515747,0.39554494619369507
