_vocab,finance,medicine,sports,technology
wall,0.21433476174121893,0.19869966282785326,0.14800880545450876,0.1730974561822662
dwindling,0.22502602450667308,0.2074169626957008,0.08857243152854392,-0.018640535019211736
band,0.12265077244942704,0.04379399076860469,0.24227221948207076,0.06863283547492441
seeing,-0.02217041528156138,0.27176936371156757,0.14318657442662028,0.23756734305784324
green,0.0936547382261179,0.08086122621606276,0.20896273286219133,0.05715472385829127
private,0.3175731832627728,0.19315969418759277,0.14695347008659268,0.21798446168452068
investment,0.47260878973849957,0.19785611368447675,0.14304725389226516,0.2157787362363835
firm,0.3828492386826002,0.1337332514483112,0.01635128710399361,0.287242769515989
carlyle,0.47690554164526644,0.19465565505666327,0.18349092511914047,0.22557898412356417
reputation,0.13451765805167987,0.08721820696690606,0.22145790162973666,0.14033909564379884
making,0.13838143153205223,0.02893969413969327,0.2504073428278817,0.2114249420147191
occasionally,-0.09455077707535288,0.019998620328566467,0.10592146680897142,0.2150525531984642
controversial,0.20052716352468125,0.186726527956049,0.12495565968562895,0.08818174639343528
plays,0.049542826577387004,0.08319694398015558,0.3394048361109765,0.196294423535193
defense,0.288471990156952,0.11292033034094749,0.15846314415902876,0.1995223272134062
quietly,0.03919578934048376,0.05741942336466537,0.09547300391976743,0.18882383747073017
placed,0.09752949716403018,0.15417895380127336,0.09377167116073325,0.15517184006888743
bets,0.2818719647903656,0.07377294919278118,0.2113044828238725,0.143683087219022
another,0.13154368593311852,-0.001242378924655768,0.21731475229744518,0.056176448900423046
part,0.3733137038977819,0.11990225545494416,0.15811759568770245,0.08701250001722366
soaring,0.17441948549573985,0.018770193496504523,0.22311059362880412,0.1905351883949435
crude,0.22570222505014156,0.10225496298591347,0.15500265148589715,0.20652592528617322
prices,0.236143012007407,0.05086480334392464,0.1138479537197254,0.2603152186470632
plus,0.2025974843047559,-0.022205855589621272,0.158549497347412,0.14152500824978054
worries,0.24299820003838105,0.006750092705241512,0.10790373427474105,0.23216422584950422
economy,0.36609470570583313,0.07193299075424094,0.089348463173052,0.20001960865409044
outlook,0.20258064547283686,0.11544012256555239,0.044072448110307465,0.3087086747453777
earnings,0.39139697540886864,0.18048686558526764,0.09667444347722567,0.3477183085300116
expected,0.19797980544196578,0.054244467964398656,0.09578592874817567,0.12579474062816498
hang,0.06751047133337057,0.09635155532400164,0.11254997786844183,0.17581114876319404
stock,0.365604364570641,0.18483286409013283,0.15746860496397524,0.17913771561617128
market,0.18110076270502531,0.13309565024484743,0.04794569601172073,0.2930905341086583
next,0.2004968538996929,-0.07324036236330705,0.14189535999164166,0.2635740002194297
week,0.22615517249141004,-0.009764997799648659,0.1642910540051727,0.11311089831477386
depth,0.17272623172839263,-0.03149515844714577,0.3055933287698466,0.20657574937729514
summer,0.07687024115059717,0.07911044589125674,0.38856951351330254,0.063800310481408
authorities,0.26361810908935945,0.2264490922414798,0.15943365290529923,0.08453835890074558
halted,0.08158511283999799,0.14891490267554297,0.20275119083212673,0.12646690696460974
oil,0.3140840382154664,0.020028082349464987,0.1318278593362682,0.2111935459190498
export,0.3213858268207015,0.0779802356452723,0.11370539042798666,0.11962034347079063
flows,0.26595184241887093,0.14967683665566886,0.03857552410713984,0.2026152263395202
main,0.12776112169574114,0.05278166787921833,0.04598538224573842,0.13563909637031443
pipeline,0.22805041151736802,0.1038670407981955,0.1080128626391753,0.20573082772941573
southern,0.10648483961307967,0.22272297965281174,0.1751903276664681,0.030484400735955933
iraq,0.34120784637747836,0.14585221912634264,0.08830011968154035,0.02745320438542694
intelligence,0.38166472793530876,0.15150370844788827,0.1341538196971897,0.2646121452291661
showed,0.09002599373983437,0.294255374628843,0.1882688597112862,0.07795053482275591
rebel,0.2955414244750391,0.04032265847048057,0.11618403596693408,0.10380475996121573
militia,0.3179946631084602,0.09851472151169949,0.14385092279213557,0.05359675252751924
could,0.13667635927293234,0.15648583802697907,0.06384711732745899,0.17437245633477616
strike,0.11761102190286117,-0.036507138102621094,0.17907672405795008,0.09182524464185969
official,0.3159933356848516,0.059039429468304816,0.21695524128968896,0.05587375738692831
said,0.3004309172632634,0.1976318953405304,0.047055936345173036,0.23014804755155616
world,0.0014225897312334147,0.004520679161869524,0.18580869488180377,0.17747621132552466
toppling,0.2359035786208968,0.05493894619205792,0.0665106995372441,0.08620547127084499
records,0.19712035662580024,0.23280269003233098,0.16229982965015888,0.08351620969153285
straining,0.048626672760435134,0.294243611314282,0.15582148133898163,0.171914866764015
present,0.21692096198812863,0.128116865608967,0.11705033560601363,0.12820542579364472
new,0.0075740293656800465,0.10941563909064822,0.1256099056900621,0.23174584313156113
economic,0.3688012852977948,0.09944731995640625,0.10833374496890943,0.2206094517083642
menace,0.07882871368869586,0.0033036982216325993,0.1123709740796111,0.07040249414090943
barely,0.07237298095501951,0.11170853260852316,0.18131251973068352,0.13143730879923723
three,0.1697872014649377,0.016849288112812968,0.09181605509364182,0.13074336317376178
months,0.22125975590549854,0.015313323377612187,0.09269018271366795,0.10372928600430184
us,0.3336395705232027,0.05716129263744384,0.08344856463766083,0.07561311571851038
presidential,0.2320433807066131,0.10242975382166186,0.06365095328308613,0.14977620567372127
stocks,0.14351078522124683,0.2132567630234023,0.03255612703338989,0.2974576936284446
ended,0.07118362904530395,0.147559030660357,0.1331317412843636,0.12904159043176194
slightly,0.13553256517768106,0.23808184826295647,-0.04220187285448119,0.19815729897257545
higher,0.19260750922417724,0.258680670471139,0.1108046587625064,0.22609589209271497
friday,0.1885053553286267,0.13414263071785248,0.1274779264545781,0.1121708880914861
stayed,0.16886611531971937,-0.0006658749812533159,0.15538646055659638,0.09151140317070482
near,0.21716555463384213,0.12212666178111052,0.06786356591551922,0.06487541744792417
lows,0.2987403138616437,-0.010202222376453613,0.1489975752629161,0.15895100588685843
year,0.22474512336408656,0.12980670450841209,0.18965952506524933,0.17888129622787136
surged,0.14161423502394385,0.06459268902546704,0.04156249707855745,0.20057609051371844
past,0.12257289794976506,0.026681355959929483,0.13037402655314206,0.1575465638860306
offsetting,0.18318834469421447,0.13036299052935507,0.1145844477086144,0.3458556232285029
positive,0.12202369776303382,0.3491750563317006,0.23143370446915396,0.18637181250343002
computer,0.1135200656303154,0.19123631259860938,0.0817615943924473,0.467044187272617
maker,0.12611879349847083,0.1949902794350028,0.07883043764748271,0.48080013285229495
dell,0.1930960945875146,0.09319377191789831,0.02329962901794112,0.4444257953811975
assets,0.39293639174268885,0.0989674373966476,0.1488214104652648,0.2017982400735659
retail,0.27602014714828377,0.27055985484753386,0.20607790671468149,0.18158306556024464
money,0.42151629133499424,0.08114914239921873,0.27717679446648563,0.04473431610119501
mutual,0.45902457727172435,0.2067493296983807,0.1545959934488244,0.12022232128167851
funds,0.4828457834048358,0.20618280795988694,0.2003187933588638,0.029162674556793125
fell,0.23702010524445355,0.23503730251503155,0.04734275740158428,0.17436837105623534
billion,0.38083716868387923,0.15446202785440827,0.1183979800295837,0.25101642463145685
latest,0.14722134922093202,0.024614348686028867,0.20369677968186625,0.16720185313646635
company,0.34294962360395376,0.16814830234234507,0.10189191700929406,0.3447798474401906
institute,0.08450547169046826,0.478978288077476,0.1376810435721761,0.3677156836326369
sales,0.21205314383441706,0.3003870859356536,0.1403934428868359,0.31461628851883633
bounced,0.16105628204803216,0.03359706535235562,0.10180974487811861,0.11179387597831998
back,0.2018239359592308,-0.06497790662184763,0.14220756907994364,0.06589860060991183
bit,0.07474378205129922,0.1396225045062588,0.17523312777939862,0.19090240747577417
claims,0.33816669098062835,0.029131296813171427,-0.010076044691868055,0.12495526917691689
jobless,0.3226906671765442,0.15571150040129764,0.08354886290078171,0.1021915196079112
benefits,0.38455715637502597,0.33003134261214395,0.079732999955359,0.143351658756601
last,0.16713003434026008,0.0673230460003391,0.2338714101706023,0.020212920037556505
government,0.38025734347119167,0.2512765038169393,0.02825613716107773,0.09114027808389259
indicating,0.2661494771505236,0.2341412311874823,0.010148334648810688,0.19362071457501628
improving,0.1599313541166132,0.22433913310618359,0.009840216435574922,0.3067206768207495
earning,0.1298592885336084,0.17808920048091775,0.330305227183326,0.09691075956225625
danny,-0.013627005704317014,0.06044475382267067,0.34492939043056875,0.1604511352998756
riley,0.16872430480373735,0.09248733544340744,0.282722210692357,0.1580998435215004
started,-0.06428478573874281,0.05549008503356205,0.15839071466379476,0.27363934436115
work,0.19062048382090155,0.22076101732474587,0.07376348356390225,0.29977192632856986
general,0.22114812644707724,0.16468075208649943,0.15363433414330305,0.14223040851291222
manager,0.1996536442891454,0.0967184153086718,0.32558606127217615,0.10361536827038213
commercial,0.11266814760291416,0.20845079327379942,0.11245335237749234,0.343226901439814
real,0.19586317845300213,0.00889128350439219,0.2249250951850056,0.12233118759914033
estate,0.38931361515984214,0.11189000931826963,0.2014152703561665,0.04935252846191626
annual,0.19894852687243544,0.24465194772053253,0.2673673837550513,0.1555003323992582
base,0.23218228373709543,0.03223527750872855,0.10153752337329562,0.18356201973317293
salary,0.3763376497497329,0.07808355854866189,0.35589879389103757,0.010876715772676656
soon,0.18217309974690243,0.15696966217482783,0.06351588632939716,0.12540945799551836
financial,0.5620033009239954,0.1445550851254787,0.14775195155186333,0.17378883617754817
planner,0.30163313164582084,0.23798316402395284,0.14117606802949237,0.33135578335816046
stopped,0.004136431809636238,0.03975491189876795,0.09015989698124675,0.13890794033830914
desk,0.3110537962491936,0.13269947981748706,0.10674260688166685,0.24411370786972145
drop,0.1607887146116768,0.1733113219795312,0.18935782743956578,0.1357465910641271
insurance,0.430728775714678,0.2618553842447791,0.11889014461559846,0.11728063451277021
available,0.08767024842211801,0.07300330816688262,0.17423011743469213,0.2685831342487407
furthest,0.09760992723172618,0.0031756147193364665,0.27672150738835644,0.14713281408412865
thing,0.07455707614138195,0.14356788146987462,0.2336087927981221,0.16610329543220984
says,0.21534695803776843,0.13510691888353263,0.1558301516202439,0.18645207611173426
opec,0.2779102212684669,0.008112627200228933,0.1803880251989923,0.10625651322829183
nothing,0.009912922276057983,0.1512294951945235,0.24763887458656433,0.06742667803960245
douse,0.0396184892412957,0.13203290101793272,0.2377801324858732,0.09141854454569501
scorching,-0.03834456507306808,0.02800446136752859,0.1260902339958074,0.04506626808967311
markets,0.30854264211174615,0.07846892168174972,0.09879879220053164,0.3003641853202115
already,0.1311165418498092,0.006739742960253247,0.21146582622617968,0.09448306066565759
million,0.3670532612171649,0.06593594912305048,0.088901664457384,0.1754915483133326
barrels,0.36844843800794685,0.020516611575560173,0.16902525329439777,0.13937013409366938
per,0.18042395792333746,0.015888252290598037,0.06628437201519685,0.2444200040535289
day,0.07100990115408257,0.18227826246741732,0.08034553242000886,0.06156201260877978
governor,0.2594888454496746,0.09681369099978744,0.10562205752520146,-0.013223480963695298
warning,0.19657298908377493,0.23608719200462863,-0.05177490486122528,0.176934686997926
fall,0.17364791974574306,0.1554298227324564,0.10672371588687164,0.21037310187973035
exporters,0.2707058599615833,0.011250524089112255,0.13945254132836776,0.2837612408642192
consider,0.24703253996000635,0.11735588772156483,0.21554845252269456,0.1876787983801647
increasing,0.14632845062880537,0.1060132008713897,0.15850672779215175,0.23894781326175937
output,0.3010389834477666,0.0014454720745356046,0.08472115917306453,0.2077216002485461
cool,-0.053458781939679456,0.01650746451715122,0.1995051011472267,0.23112199956947388
record,0.11789855339155383,-0.035131701622920376,0.27595684783520347,0.16478453733898668
president,0.1995589309179822,0.0543916646611063,0.1195027380041836,0.1904764781937368
purnomo,0.27239991234948535,0.03693728714336035,0.12469460018229796,0.1706427527847829
yusgiantoro,0.2632299445241538,0.06028624007814091,0.1697797163959307,0.23409845186124945
auction,0.3233979430022792,0.002118277632821779,0.10836484566863411,0.13653088575105682
google,0.11414752574050929,0.0758290151776076,0.17965423303988395,0.3398156211973634
highly,0.09907973977179851,0.1931238615966241,0.14095048302475127,0.21670834385525833
anticipated,0.15883577666813986,-0.02312197307091319,0.25147459599531474,0.06648439491969892
initial,0.27117009188124896,0.09633847869480247,0.045532953242539205,0.11034898354056619
public,0.19278031853969688,0.22928301175846116,0.10269320954097859,0.13294489254625874
offering,0.16849448731665262,0.04376710330251364,0.0335696705449121,0.3108954531595627
got,0.08905919108431937,0.15516894705218315,0.23311070380231366,0.09580056867699943
rocky,0.08638969361421472,0.0764038620897973,0.1857297003391783,0.1366437438608992
start,0.11995026461432844,0.11871142002793768,0.11991880115270089,0.11253932372206119
web,0.10144408771969846,0.16279081145341823,0.10888519067472421,0.3354921121389782
search,0.11340696298372989,0.046454045450156654,0.21905711404195782,0.33769290119861317
sidestepped,0.12092888120494827,0.03797652854548204,0.06215810004278571,0.2081637077684967
bullet,0.060913026595476115,0.22178657277311442,0.17895880722194765,0.1131771297765524
securities,0.6499287797935723,0.1787898451586754,0.13711077191044202,0.128284767306218
dollar,0.4082724688328281,0.03344966696688202,0.12540452406196712,0.15707323043294735
tumbled,0.23107843335216932,0.20147515221835544,0.027846095505139126,0.17367226008263711
broadly,0.13447714276280404,-0.033902651001905613,0.07702951982982936,0.22241159654388395
data,0.25740444600408985,0.21627003382091964,-0.03096708483406717,0.381679683111098
showing,0.1126877189620279,0.256236538663444,0.1364427992729949,0.06816155009462523
trade,0.24020862919651423,0.047702685268771625,0.11183810772556955,0.15428176002675822
deficit,0.31021511709324473,0.1502516857972282,0.08265569133040901,0.03936139333834481
june,0.20157652548399124,0.005768220688844954,0.016078941597101583,0.24629626848336564
cast,0.07829579516226086,0.08702650751296158,0.12168648742502208,0.17632533664742278
fresh,0.13454588783427895,0.005545653603776452,0.005933605220233755,0.09220322577654261
doubts,0.2303944795662171,0.02439182821118067,0.09657051854691209,0.10976305474767066
recovery,0.2077352346065783,0.24564040774907878,-0.0767880476629937,0.23358547023712908
ability,0.10126730354062473,0.07339373343527449,0.13962989525799452,0.26628177404014086
draw,0.17121352872707846,-0.011960053312735957,0.20664917487092238,0.2228159088288209
foreign,0.36674569851906275,0.11884099842379671,0.030102938976085646,0.17217768298739827
capital,0.3095632028055138,0.08297486724257373,0.1525469402125855,0.1525705567214621
fund,0.4315604508525499,0.2536360598104945,0.10331817844241407,0.2074184534618914
growing,0.11292252582961075,0.10583210513254758,0.10795527844158805,0.2588994888173574
season,0.11947366262229099,0.19367774833711657,0.4851331676155184,0.007678333412714945
become,0.06559019419534416,0.054471104589174466,0.22123100335596455,0.18134723561190416
huge,0.23542819506329818,0.039933844650501406,0.1614398269804276,0.03602132680132976
marketing,0.16640598497962591,0.18639174076482665,0.26792786092364623,0.35717110827340964
focused,0.12931221159903247,0.07602837568942258,0.1505843361000812,0.2628908904356003
