_vocab,finance,medicine,sports,technology
wall,0.5563833713531494,0.5596007704734802,0.532504141330719,0.5531965494155884
dwindling,0.5752759575843811,0.622462272644043,0.5363580584526062,0.5316269993782043
band,0.5879563093185425,0.5977146029472351,0.5515841841697693,0.5381601452827454
seeing,0.5504040718078613,0.5418786406517029,0.5280542373657227,0.5082511305809021
green,0.5398760437965393,0.4973088800907135,0.5060750842094421,0.5425212383270264
private,0.5802274346351624,0.5528897047042847,0.549201250076294,0.6118919253349304
investment,0.5535828471183777,0.5381253957748413,0.5269519090652466,0.5648630261421204
firm,0.5620046854019165,0.5210500359535217,0.5573078393936157,0.5725811719894409
carlyle,0.5284707546234131,0.5396647453308105,0.5633573532104492,0.514524519443512
reputation,0.609040379524231,0.5069458484649658,0.5745240449905396,0.5345560908317566
making,0.5540620684623718,0.5047274231910706,0.5174447298049927,0.5877134799957275
occasionally,0.5720106959342957,0.561242938041687,0.5651236176490784,0.5076329112052917
controversial,0.5903673768043518,0.531616747379303,0.5259883999824524,0.5639620423316956
plays,0.5675397515296936,0.570761501789093,0.5081374645233154,0.5455309748649597
defense,0.6244082450866699,0.563563883304596,0.5434243679046631,0.5899017453193665
quietly,0.6335931420326233,0.6084299683570862,0.5668516159057617,0.5441847443580627
placed,0.60386061668396,0.584913969039917,0.5235937833786011,0.5399832129478455
bets,0.5685239434242249,0.5428721904754639,0.5480997562408447,0.5217307806015015
another,0.5688287615776062,0.5059399604797363,0.6010403037071228,0.5795146822929382
part,0.6240100264549255,0.5557975172996521,0.6075526475906372,0.5704851150512695
soaring,0.5894836783409119,0.589629590511322,0.6027227640151978,0.5778811573982239
crude,0.6172314882278442,0.5504374504089355,0.5581452250480652,0.5761329531669617
prices,0.5138397812843323,0.46036094427108765,0.5121238231658936,0.5762764811515808
plus,0.5848650336265564,0.5827593207359314,0.5453515648841858,0.5056927800178528
worries,0.5402357578277588,0.5674636363983154,0.5747663378715515,0.568504810333252
economy,0.6158793568611145,0.552242636680603,0.5995619893074036,0.5869377851486206
outlook,0.549980640411377,0.5421822667121887,0.5504676699638367,0.596986711025238
earnings,0.5767073035240173,0.45993438363075256,0.49848103523254395,0.47615116834640503
expected,0.5733304619789124,0.5480377674102783,0.5200444459915161,0.579484760761261
