_vocab,finance,medicine,sports,technology
wall,0.4985512556961598,0.4655884574671756,0.3698829527044298,0.5182677534636618
dwindling,0.26040000954727627,0.3022324597454146,0.22676298028466782,0.33157777637327046
band,0.5107921695447688,0.5468448531447581,0.47452480680433784,0.5573685419629065
seeing,0.45477518096745434,0.46073256067017754,0.31543090430534193,0.5154462928521137
green,0.4575280756378907,0.4446752694917445,0.4535831265802356,0.5487756193015362
private,0.5461502734401215,0.5336503435407103,0.40163557996746524,0.5417971442642733
investment,0.6564026245071052,0.5448102631719295,0.413594196710501,0.6649993537488063
firm,0.506586396998625,0.47734047650283346,0.3563705458195374,0.5361441547506515
carlyle,0.08778247493371236,0.13583767878743658,0.06123805512601213,0.12170558059719239
reputation,0.505884661935404,0.48675731617120155,0.35059668903360897,0.5392262829322549
making,0.47819806324837133,0.4663571947168646,0.3449567110632039,0.566610239768412
occasionally,0.5261406852150013,0.507578370913078,0.36069425398833194,0.50800608860494
controversial,0.5269671846670484,0.5263035096523044,0.35834208663378214,0.5200824924588987
plays,0.42632738951161664,0.4383629724972302,0.36786413863236805,0.4323523429596896
defense,0.6087593008848639,0.5350394365679396,0.4215860178255781,0.5963837607821223
quietly,0.4500083379248593,0.45870122578592404,0.3479720504333869,0.5442287193903511
placed,0.4530306587320725,0.418403643588735,0.3070662534753561,0.4439050397788807
bets,0.519244550724683,0.4705337779452809,0.32075368389518616,0.4634071624332906
another,0.45351988963463974,0.44769081210211914,0.33845687927625845,0.5007275043631728
part,0.37525930287105663,0.36945703542031316,0.3564550816204231,0.5383239639071645
soaring,0.5417957603925198,0.539802730127505,0.36886809914500857,0.5217272498742346
crude,0.5329455646347692,0.5253080803474343,0.35454379081770715,0.5647202599576694
prices,0.5530675427941923,0.5079929887741028,0.34348322048374474,0.5389025318069256
plus,0.45216376607363246,0.440286985400029,0.3266677968059097,0.5019325118809959
worries,0.455429780835445,0.4560672333114072,0.3326986466374089,0.480518775310834
economy,0.6849850762363752,0.6608890834031889,0.49754102763494923,0.6513570045954203
outlook,0.5260286780704619,0.47768470244576644,0.3729355594106725,0.5398413885893062
earnings,0.576592726149732,0.4842971687114457,0.3886153542494076,0.5222579358797678
expected,0.47156410524343856,0.4764817500335064,0.32147657743191477,0.4937545140031676
hang,0.40884586284638086,0.39532118649112513,0.3789038169725122,0.4272804546636286
stock,0.5062547326726549,0.44368129892619274,0.32280089887448077,0.5050454953481115
market,0.5669531563395123,0.5484783769962304,0.3719221834105848,0.5990644355217901
next,0.4460254852817661,0.39541905354450885,0.34713178900219144,0.5302160565081677
week,0.41691102910183675,0.4266193436774051,0.3353383359600613,0.4415244665321048
depth,0.5412863327251024,0.5213474017957633,0.34789554553657454,0.5251747265685908
summer,0.5108534019714976,0.49347126071083997,0.41160473859833996,0.4819562142347525
authorities,0.6011458215204812,0.595821730004815,0.48639513388184485,0.556345988651379
halted,0.4474838242206366,0.4439053887501431,0.3115075818862049,0.45337235462344616
oil,0.5906578707882623,0.6136684816114264,0.42304675156974236,0.599416438100052
export,0.5942124411754461,0.5907959532697001,0.4613612780038476,0.6149983199162173
flows,0.5456600396365994,0.5282112129208051,0.3447145520308936,0.5265696983789782
main,0.5271841573606151,0.5173925841082804,0.4639289581040621,0.4997499107673557
pipeline,0.5385827630243577,0.5248609103766988,0.3626489775584377,0.5747867390846897
southern,0.5254583289426421,0.4951869329627359,0.3440657083330266,0.5386240688629665
iraq,0.5294214818518846,0.4938381984125132,0.3913462354884805,0.4923550559840075
intelligence,0.6314043867741137,0.5851997838750091,0.5208534359621941,0.6659353056881581
showed,0.4389788669775248,0.42998474384480195,0.3544193993359572,0.49626464343985005
rebel,0.4783458395739042,0.4822972089685669,0.3551783348574445,0.45069264047098195
militia,0.5335394224928849,0.5447330216273839,0.39105648060108195,0.5456926162650576
could,0.37317185419960686,0.4040193426314011,0.303226983597635,0.49787442900011364
strike,0.49341935656943253,0.459987843934882,0.3278808387277678,0.5024172183566673
official,0.46791267523184443,0.4999165789062028,0.42454365868785293,0.471334327421021
said,0.3848513395813079,0.3722012362851993,0.32887630422256736,0.42037516255371743
world,0.5028547781044846,0.4696583592958661,0.41200746515426273,0.5377786620924566
toppling,0.2966739518991852,0.2596602374501632,0.24379408767551433,0.34719112107041444
records,0.291295395121806,0.28392576751631715,0.3428005070810077,0.4141197431319787
straining,0.43261793664624737,0.43823777448907475,0.33615606004924914,0.48382039972600777
present,0.4422788545250489,0.38512841655734376,0.3550718726294963,0.42535981774020476
new,0.43215570071895626,0.4585986243284031,0.414968079195186,0.516376322514507
economic,0.7060988412321368,0.6461850272618851,0.492554571811135,0.669786882980805
menace,0.48152420279190217,0.48244363314453076,0.33208370545428195,0.5073990030236619
barely,0.46373386491609997,0.4612516432415759,0.3276315313385313,0.48801664185314847
three,0.4252992309296036,0.37692015867436984,0.30681713605781236,0.4553117572058364
months,0.425665893862637,0.40895065010317605,0.3168378413749101,0.42756401045259523
us,0.4775307873011727,0.4681830439670748,0.35875901001016286,0.5015465419891562
presidential,0.5408417466934101,0.5300739111648893,0.44000580559456276,0.4948823457198158
stocks,0.5648703006698573,0.5429654651738292,0.37767218715861867,0.5413851346729249
ended,0.38104174236539645,0.4167401761717105,0.3867690527813612,0.4523087575770091
slightly,0.4904547022857682,0.5007565830541639,0.33260918027666436,0.5224963466695354
higher,0.4807766451543916,0.42511497605620274,0.33719551574432277,0.4873944413977237
friday,0.44493743866874685,0.4197691261244583,0.32814004741507813,0.40179971107780443
stayed,0.4076894407788494,0.4067260448846226,0.33771723959205957,0.46478412760168786
near,0.4993861643121836,0.47859724476800797,0.3309124269795633,0.5538838781111072
