_vocab,finance,medicine,sports,technology
wall,0.4893925155779041,0.45177210400342366,0.37493732363495674,0.5300538694001642
dwindling,0.23587871062226554,0.27384619112902897,0.21739080092054833,0.27825092606588353
band,0.5115253861249542,0.5225840914143722,0.4928181987325695,0.56872323722213
seeing,0.3961536634983914,0.42456798460168155,0.31021488592140745,0.4487116194544208
green,0.415453675167488,0.4388305743855874,0.4172655921347209,0.46209628042207723
private,0.50630932972164,0.4592420355404041,0.40354621509926253,0.46284691045349563
investment,0.6516017001579013,0.5178938262173498,0.4349234698186014,0.614720786209827
firm,0.4811765223632728,0.42582588741674704,0.3733909289063356,0.5471377930619471
carlyle,0.09189013872432034,0.13640351969734282,0.06763995580506876,0.12848326875989993
reputation,0.48957710625004824,0.46419791439375524,0.34883522553695584,0.5276687177755984
making,0.46794544430734797,0.43274113503284806,0.3783586127372803,0.5586893613897246
occasionally,0.40568619410652873,0.4036268039000282,0.3453297610171634,0.45002876876594583
controversial,0.47108020880619905,0.46253194746398196,0.35318580435145486,0.496769101445489
plays,0.40786318021641715,0.401303529667865,0.40048886407212836,0.3956877470983224
defense,0.5384324646173101,0.48989850083295494,0.4048327630501903,0.5070966176982448
quietly,0.39883335868865,0.38950254683222935,0.34451403301472244,0.4818857708520846
placed,0.43564105602322456,0.3559824540365901,0.3003223569004731,0.424748677014484
bets,0.49842896254424474,0.42866236722476964,0.348211675133153,0.4103473321773812
another,0.3478928003959669,0.4065228375843874,0.3169274121958539,0.3778836935846357
part,0.353120976002422,0.3546752355359256,0.3722070053340901,0.4767273874238718
soaring,0.5181238201625195,0.48712917486638085,0.3677097507755666,0.4736750635755171
crude,0.5030190369514742,0.4494213877492989,0.34228321123627814,0.5200754876685763
prices,0.5354520503628369,0.4929262562907295,0.3709531385386425,0.5287147005899434
plus,0.41215386142009997,0.386384562194314,0.3625158058830497,0.4380223532633431
worries,0.42795045918475966,0.3841149297197135,0.34396610675783107,0.3873636681375336
economy,0.6224832963744897,0.5755184265953198,0.48185419470281843,0.5772354612934242
outlook,0.5125136266120573,0.43896139784974747,0.3740745642206048,0.5006188770311202
earnings,0.5578382419218466,0.4581570799200552,0.4120635837041459,0.5003395676783807
expected,0.4368558934081879,0.40668283151232654,0.3067861039107514,0.4569908579557962
hang,0.4016330999322561,0.37861662608577723,0.36821073561905004,0.4059668723568655
stock,0.5039474243223758,0.42657062089615955,0.346385574568128,0.4938195473635257
market,0.5517864881725334,0.536748869416726,0.3999598017246042,0.6058541738124592
next,0.4288787642647796,0.35825311403454635,0.3642161036240931,0.4594062829051152
week,0.4082022791110049,0.407379843618959,0.33193070692565935,0.44565349638888396
depth,0.5408270845035861,0.5246684415797076,0.36304837473847534,0.546212863913334
summer,0.5074178130139847,0.4464747670898459,0.42721961603773,0.440227833724137
authorities,0.48863879710924873,0.4880350218061039,0.43370742851720623,0.43458032113437123
halted,0.42648968482183225,0.37407649842242446,0.31632681528298573,0.4537931954964046
oil,0.5753440380581386,0.5984257899362402,0.42419954056824866,0.5604153469297726
export,0.5559067557605561,0.49689572485752215,0.48028321658808737,0.5768889315176373
flows,0.5411762814047828,0.4670376457161911,0.3713118785465096,0.49598134759304946
main,0.5110969804222639,0.4554423101308364,0.4933979638828118,0.4854233780523055
pipeline,0.5480560735403289,0.4726013544718086,0.3635894391324834,0.609707878054196
southern,0.49683805488485444,0.4531540787846962,0.3517227107036174,0.4953801370521722
iraq,0.49058800322205315,0.48028907724278047,0.37680019260216335,0.4780092695842748
intelligence,0.6290223055064426,0.5553358519336801,0.5231343300878262,0.6393032271674383
showed,0.40503220623222735,0.41835807713337847,0.358244180840497,0.4822159221210937
rebel,0.4521640136317757,0.43650571178587944,0.34265277839718594,0.4060980359079532
militia,0.5050176113926941,0.503235400508629,0.4103525959063054,0.5226565675244412
could,0.3264373176226784,0.3611295107760877,0.30784561586142145,0.4248990626698677
strike,0.4437285321333212,0.41103872084010923,0.3301888510865912,0.47322095780401785
official,0.3969629363217997,0.44470023097958655,0.3755385314382778,0.4120458581852996
said,0.3663170733010181,0.3797806901748474,0.33245582315039673,0.38913830066604216
world,0.47170147392564993,0.44332195237152183,0.42299052756918204,0.5026746393378135
toppling,0.2607516022033242,0.19915266211993368,0.21314819421329542,0.2576520225108671
records,0.31748084314136055,0.3012989626402202,0.37339103724540784,0.4171411079091082
straining,0.4542694370228124,0.4250427361700321,0.3704326270585224,0.5195646943743082
present,0.42145219756389707,0.3365442433606798,0.3686972193800932,0.4279376313455699
new,0.4112907373697984,0.4204323671334738,0.42091473988969375,0.47021967996419173
economic,0.6728157392682707,0.575726565543083,0.4936550582529253,0.6008853621258002
menace,0.5187943039470799,0.47289747009866695,0.3582845731307773,0.5460074871172288
barely,0.3862796840420097,0.3777387990345039,0.29162709561423905,0.3647495369535378
three,0.35728735832230757,0.3220085717471349,0.26675940261341086,0.36797055976336623
months,0.32696798109427455,0.3379857128618227,0.31181793822549125,0.30423855764761903
us,0.44082177131596767,0.42789409493250585,0.37390249338599624,0.45495112469166205
presidential,0.4791694589951682,0.44974582241572314,0.41167864313369534,0.41164819501823013
stocks,0.5606018902546754,0.48648163673549305,0.3928465937642218,0.48499812542775494
ended,0.3406031321918078,0.372717218507896,0.35534605864080004,0.38195117218378205
slightly,0.43671978757637603,0.46409944798126224,0.3212139977832287,0.4456951865337624
higher,0.45430629550244167,0.40263055846783574,0.3497408908634181,0.45387613874588306
friday,0.4286986010726919,0.411624344451026,0.353468526336257,0.4188892160848134
stayed,0.36165922255195937,0.35619649527476016,0.3446254580966531,0.4155591966554659
near,0.4656535266256545,0.4145433779147458,0.33984842572703117,0.5339266761618893
lows,0.26754558706649356,0.2302685569622287,0.21865213616125162,0.2894871525148584
year,0.31380169981166217,0.33285670470913115,0.38679859022835467,0.4584446283686223
surged,0.42027734040592435,0.4008679806082972,0.3202397803879459,0.4516955208213329
past,0.42417797217549275,0.4051053627598792,0.3958501592305417,0.43753665138778347
offsetting,0.25903667946986497,0.2530416577068666,0.18929656045107582,0.37498426560977316
positive,0.34161489247858684,0.3479082044789961,0.35645939980596886,0.4336291740575616
computer,0.5793649887961178,0.5365339699466408,0.4800144059963105,0.6411612533211274
maker,0.45865816661358527,0.4561690518022432,0.36957207732278113,0.565630572861201
dell,0.4254069004516285,0.43703557718148744,0.3423672961740127,0.4549335048067531
assets,0.6201476286230468,0.5101778203348422,0.4806647320524953,0.5836664575218193
retail,0.6027181241660716,0.5221743167768876,0.47298895206443453,0.6175861182830955
money,0.5750383238352595,0.5516393391331592,0.4742311427578439,0.5729221209027552
mutual,0.383198556250609,0.38829664500862965,0.34673480008874447,0.45642580820146006
funds,0.4022094008538137,0.3232451922306995,0.3288366188069737,0.40205688348358576
fell,0.43511133491138926,0.4092001522167226,0.3613696655414211,0.4496471488447111
billion,0.4278810731107747,0.34152768457204075,0.28065698894522423,0.4436257518812492
latest,0.46144134484808014,0.3902322728396007,0.3580805469742583,0.4843739219574039
company,0.4561276640243596,0.45529600580708623,0.4072755486314106,0.5918093613441583
institute,0.4561177429817906,0.48157222759063045,0.3721928382811821,0.5576865935372936
sales,0.5879590180214782,0.5110581778947855,0.43238363075192937,0.5577629470313845
bounced,0.43176102484545575,0.4088228232742268,0.33471832681567243,0.4824819726714284
back,0.4188361357155717,0.38983149465921224,0.3281724605604351,0.4961086458687427
bit,0.3825247638598971,0.38662679935043626,0.353744897251637,0.43287743429153236
claims,0.4657170700292349,0.39745718344263525,0.36380376354249255,0.5038639391219744
jobless,0.265910857542232,0.2686431986772815,0.26489255467546785,0.38902403755191217
benefits,0.5289072152962271,0.4305146571211949,0.40083415101097025,0.4593481743940858
last,0.3666943102327168,0.32960349662346705,0.34103906418419716,0.4300405840106059
government,0.56113361249927,0.5747166219908543,0.4687074737496859,0.4869015564501001
indicating,0.40850268307007276,0.43014123965498563,0.3078528092402889,0.470667179562558
improving,0.3696665036535045,0.3834917649579027,0.37599632704147296,0.5156843366030901
earning,0.46883547391212244,0.4229298688838903,0.3452897255255822,0.50305636751185
danny,0.4132340398563188,0.38081274468632687,0.31865757170601366,0.42890560381902715
riley,0.398192706907763,0.43334916496134823,0.3592902086091831,0.44895845929761696
started,0.3672266092125644,0.3760076732699869,0.31203338077297876,0.35378850235862913
work,0.4485910111716925,0.43122777595352824,0.45782219613547126,0.5000924496692395
general,0.46269433623469053,0.5086124221243744,0.44891296447830353,0.4649120094358368
manager,0.4479598908601393,0.44120649592780664,0.4435612500727724,0.44867891346094
commercial,0.5662447162221032,0.5124964389999946,0.4679244461259439,0.5683225339128846
real,0.4265959936067607,0.41490171894092504,0.410845481613739,0.4562087243853079
estate,0.5041641700807337,0.47934809278921225,0.36786701423811835,0.5235476073444689
annual,0.3312042302571816,0.3335039372045641,0.35855509266638547,0.463807386037557
base,0.4632391539350428,0.43934296970681613,0.42702235614424117,0.49607613830297265
salary,0.5288468578775672,0.4458436286049602,0.4427634793982918,0.4888060036482821
soon,0.3379140587672957,0.3087312589623468,0.2992389539305631,0.48093736469133624
financial,0.7196773406677447,0.5530725002210988,0.5042491166757987,0.6368740723585552
planner,0.4766619487315305,0.4095320760738495,0.31622678036328467,0.4630729141710835
stopped,0.4109109445061519,0.38931037101667026,0.3256888479502852,0.42763826371637104
desk,0.4962209120312686,0.4665724482581081,0.382946286095838,0.5588978017030377
drop,0.441443730238896,0.4179779867648623,0.3494533840963887,0.47608833695305225
