_vocab,finance,medicine,sports,technology
wall,0.4822932088432635,0.456637190230144,0.3758126986898636,0.5086894765811646
dwindling,0.30493862721462867,0.3495354376963734,0.2627246450726789,0.36612643559029096
band,0.5043277777138555,0.5256979931334939,0.45202409343890887,0.526027622756221
seeing,0.4516753138197486,0.4451880010940076,0.33478708650656835,0.4870961196124175
green,0.4488896255563097,0.41224902350864184,0.4140837906822233,0.5229646887785843
private,0.5229491263505475,0.49409007419479695,0.40443436029138485,0.5469401392341133
investment,0.5675202681322459,0.4914491307559693,0.4020945201350877,0.6000851025100258
firm,0.48992528513603817,0.44417509509474207,0.3753422452631216,0.5280877373405531
carlyle,0.11575638869342608,0.17206485602781568,0.08242599645715007,0.1571538328059338
reputation,0.5098267192296223,0.441156402665331,0.3764982409754177,0.5135592696403375
making,0.4684258587506706,0.42867034032522816,0.35246794559531924,0.5538063672256389
occasionally,0.5067505158727662,0.48344106681595245,0.3812161896786001,0.48239341763861865
controversial,0.5157840398970426,0.4775204482369599,0.3651939232600875,0.5142185646021139
plays,0.4389320899499788,0.4434450466159289,0.3639659048967198,0.447599652083974
defense,0.5825722976245038,0.5008440118393499,0.41504575994432336,0.5733055045803389
quietly,0.4782470657415531,0.47218551008790194,0.37208936248690827,0.5209800951264728
placed,0.4708581554813673,0.4347502917904289,0.32697465770421963,0.4539424393274927
bets,0.5008405085363699,0.4517023732631273,0.34518454923638076,0.4604872318458311
another,0.4583426740469298,0.4187872156924157,0.3741688135096235,0.5071793606225381
part,0.41609653178634715,0.3887993368482584,0.39066587834416394,0.5286351377848219
soaring,0.5247078640502761,0.5173563308076942,0.3992708384148142,0.5207400239251289
crude,0.5312908034479804,0.4879776622177653,0.37425932253921645,0.547702346234007
prices,0.48977649669790874,0.4190716788446018,0.3493147483363771,0.5313630160825119
plus,0.46349141010160866,0.4495065592968355,0.34892273280459474,0.477861897888582
worries,0.4477040091610004,0.45395984899132125,0.36242104905044975,0.4893421729669208
economy,0.6216213981305412,0.5588030209726255,0.4901486719035692,0.6042783839496176
outlook,0.49570189730557257,0.4556875147187281,0.38498507543932997,0.5400801383612435
earnings,0.5391584455078946,0.4080762068647506,0.3723260023104121,0.4746605888143607
expected,0.47233364199243105,0.4579145725945467,0.33659414281477823,0.5023659488547786
hang,0.4151527438790639,0.4221689068576541,0.3973631250114674,0.4265801776120532
stock,0.5071599341444124,0.42010743454363986,0.33144091187154134,0.5117836090209225
market,0.5573680451806386,0.4935251338254006,0.3675763088746576,0.6012935647823228
next,0.4156864084738551,0.40036959833634234,0.33058483710478237,0.5241489337135682
week,0.43406815413580174,0.4299338808463189,0.35289225044750566,0.4627670458472891
depth,0.5335159953996281,0.47480909364434837,0.34860771627885534,0.47340143238867705
summer,0.49472584443342627,0.4786450436193053,0.4227916392152156,0.5051461957228803
authorities,0.576817905456619,0.5283499043360861,0.46339296571693084,0.5537018977087693
halted,0.4558324604679088,0.43005459291355197,0.3478776430293885,0.4591687536264639
oil,0.5219615623565889,0.5174283663321679,0.40993984974327485,0.5733707584482276
export,0.5539237614527175,0.5434323999703929,0.46609723200829145,0.5683570012503487
flows,0.5094631808708081,0.5184994283990642,0.35685330830402623,0.4689880714150408
main,0.5330176031553017,0.5046426061042661,0.42488129175554434,0.5009230180555937
pipeline,0.4924750548601805,0.4890192600485584,0.36499366950181306,0.4964278907267152
southern,0.505341160835918,0.4506505396358502,0.34798025271960237,0.522239042411771
iraq,0.5044897396853144,0.4509866568316088,0.3919929306156446,0.5193887136893592
intelligence,0.5699500141733916,0.541543610503079,0.4654180073209238,0.6085138835255337
showed,0.45250396281225336,0.43065947478610045,0.3913577003214563,0.5105820145915884
rebel,0.46620322017661336,0.41997950935699296,0.36726878566872256,0.4461777221517846
militia,0.5242974516864284,0.4965685791421846,0.3861466621682946,0.5443998875387713
could,0.3709205560030637,0.3832344508076798,0.31671067736639663,0.49552590260980217
strike,0.49888319569452194,0.4601163041131257,0.347314427426709,0.5065704967888984
official,0.46604453692448794,0.4678268075307759,0.41368706086926443,0.507965369947723
said,0.37538421833429086,0.2924001474581165,0.34547415890247096,0.4180654984325771
world,0.5102665144216665,0.4449684756224807,0.4145199124908792,0.5288121362905416
toppling,0.3461752568584723,0.30613507597035583,0.2822255124803113,0.38618998570186563
records,0.3426961486853771,0.3226894384797515,0.37510004890345283,0.44767634433664766
straining,0.42331822984443634,0.41503505163083815,0.3635258451233441,0.4333132810655976
present,0.45682135506340216,0.39334115483108395,0.38213080970472774,0.44482317011587247
new,0.41338092703313994,0.41156007704424535,0.40576250347416853,0.5066651916453287
economic,0.6070552215070668,0.5296934148470966,0.46359500053268127,0.6156048744482232
menace,0.4438302504232883,0.4477995147936681,0.34467264709145135,0.4447435722681359
barely,0.4568203067461151,0.4528057862249062,0.344737876170894,0.43874497053389594
three,0.4568673370612308,0.36568353765339634,0.32581710579080725,0.48303886459055845
months,0.4536726078677417,0.4152230253983412,0.3567094928956455,0.47387897862011025
us,0.4332660687098683,0.42034770880208,0.3582430142551058,0.4980112733262881
presidential,0.5200738389688037,0.4721423605491938,0.4410148860171011,0.5013299305492925
stocks,0.53435301447309,0.4898036340785651,0.40119911606034286,0.5378317919223781
ended,0.4095736986648821,0.4060158441084352,0.41451739393171827,0.4645576693729336
slightly,0.5067690897284829,0.477659227622884,0.3759520720880202,0.5227375888918075
higher,0.4952010730819151,0.4030944254339483,0.37307033475183793,0.4892657017845286
friday,0.4444375895749696,0.41614141015874656,0.32324854584980506,0.421450531267079
stayed,0.43052937956465065,0.4147036973884156,0.3723180944850463,0.472068374126141
near,0.5024791226296248,0.45435248507008125,0.3614532751085308,0.5550691339478304
lows,0.3182381170785037,0.2877543343244367,0.2634123046302005,0.4038740690456761
year,0.33138921383417064,0.33934363830220005,0.362025087491899,0.4952774737173919
surged,0.41433896308403256,0.40880749720484005,0.323386561463844,0.4573599840941386
past,0.44959702516963135,0.4535576462261198,0.40475582500821516,0.5048412775373308
offsetting,0.289879377198156,0.3029095670245666,0.21711045535532314,0.43180291798491144
positive,0.3938109970445307,0.40705291747813016,0.37476480198407125,0.502773249533861
computer,0.5342256254426067,0.4677635075315546,0.47477934663968213,0.5900816448267551
maker,0.4889363688557225,0.46083842218383225,0.36483746567448727,0.5561498437201853
dell,0.4601198781309537,0.4476083503422322,0.37471280930354095,0.5091844776949704
assets,0.6095629521787738,0.5434093345037009,0.46927370861361006,0.5543768481361627
retail,0.5757092536863727,0.5456399194293918,0.44844589226120646,0.5934819213583752
money,0.5282848421035199,0.46684176726302384,0.43612883141471437,0.5580243933378897
mutual,0.4362427588639071,0.42725092616564386,0.32803398488450236,0.4532759666761009
funds,0.4231764408422585,0.36583540029463874,0.34750542616210506,0.5373851412575533
fell,0.4378720684044577,0.41718036337710784,0.33972984947392326,0.4446816846033443
billion,0.46168313818321743,0.3671193231572971,0.31122322484886394,0.4766963269141225
latest,0.49368028905450484,0.47051135462768945,0.3688791333308784,0.5219311642181763
company,0.46571396621085426,0.4409217321076015,0.3780864846546577,0.525203829579692
institute,0.48665437973184666,0.4865400518783555,0.3641643000965491,0.5374168151825024
sales,0.5714267153882091,0.5077144979185023,0.43802281592984665,0.5781992937850184
bounced,0.42801645572956437,0.44039834710119646,0.3467330519854682,0.5017631155531137
back,0.45292930243222385,0.4064903985413579,0.3639060177523348,0.531836026366192
bit,0.3901832653879537,0.394420385724846,0.3554020836665566,0.4141593536914606
claims,0.5081697102736601,0.50100750290895,0.38107233239661353,0.5283907392514063
jobless,0.3185123884804527,0.3206764593544265,0.29013632637726194,0.4220195607415539
benefits,0.5417505767886575,0.4483104459543047,0.3890884875124204,0.4837363040508533
last,0.4726027018787547,0.4313712164732699,0.3766571218024371,0.5582468015793848
government,0.547177446128497,0.5392938026123485,0.37613208241072377,0.5657239102019332
indicating,0.46849615138336914,0.45305324242146644,0.32714998508307264,0.4434923558969568
improving,0.4163568289295773,0.409317675621111,0.3714641383543386,0.5205505300688474
earning,0.5054009042058181,0.4866714412512606,0.35095666064011977,0.505578529032078
danny,0.48314045963190183,0.487675587841096,0.34066473512163453,0.46831908381296145
riley,0.41098473757641724,0.4615088557782119,0.36268743335550857,0.46016784942322736
started,0.43032196104586573,0.44364117596846125,0.3365609954139328,0.4704672988303619
work,0.48358248168226353,0.4758646217828108,0.4307375941800301,0.5233630770274212
general,0.5164103272009627,0.45454843165761105,0.45280499592012563,0.5259384759619657
manager,0.5017518378575664,0.42543624548554143,0.43876997922438055,0.4870693411762335
commercial,0.5252535785097767,0.5405537558997001,0.44348808145857666,0.5775721606704898
real,0.4660639470201985,0.43193100007831114,0.4211045493952094,0.4875144113439116
estate,0.5346562105572435,0.4911787681698016,0.3704356758751182,0.4885724861935795
annual,0.36312627813006254,0.3582930054522985,0.34020258268379167,0.44227121618617005
base,0.5239629509774217,0.4845945180241343,0.4050382774628004,0.5268530818852448
salary,0.5387422769681834,0.47713641777037846,0.4086665486122908,0.4661671902636881
soon,0.3834069056512434,0.33605138405608675,0.33376205713745744,0.4857265007192659
financial,0.6491825415730307,0.5636857614062103,0.47181364766693085,0.6651557285682865
planner,0.43606731259526477,0.4243574408796824,0.33905808079686117,0.46573083851217956
stopped,0.4533318257120009,0.4369020406373134,0.3628973292226384,0.4882879396429003
desk,0.5128592794292529,0.5038078425022816,0.4029271092509132,0.5378173273248336
drop,0.4641751982387165,0.39665035406384797,0.38154779488943347,0.47510108463251577
insurance,0.605529531091331,0.5458612740559678,0.5129726556651762,0.5850414135550768
available,0.3719605164959578,0.40201565687779955,0.3046822159226987,0.42605727850773717
furthest,0.25183146170712134,0.30052374146426164,0.22383112922586124,0.3932817887183055
thing,0.4913083853015975,0.4739858734471925,0.3707246676680382,0.5148465605100715
says,0.4265908309579371,0.4134721480683691,0.34914069260023,0.4659276356796451
opec,0.25893570008335387,0.25269437163363406,0.17788210397848309,0.31010630646167586
nothing,0.4758284854216582,0.44678200917568966,0.4337970875764038,0.5628222100855013
douse,0.2848982868527361,0.2806036884843786,0.26878422378731204,0.3344828736611704
scorching,0.2558825259098529,0.23572887946431556,0.1904857373814078,0.1848016545943961
markets,0.5764578225509729,0.5128107734837991,0.3979584122241771,0.49595416660469427
already,0.40550885409925963,0.38576401676894667,0.3405984273120856,0.4408736783306996
million,0.4747843025212094,0.42010652974360535,0.337541099771337,0.5119333924978636
barrels,0.5521991347182702,0.47849184465304656,0.3682391507730661,0.5456603569763756
per,0.4204051276954199,0.43190670181272056,0.37384133750430376,0.4799594938285319
day,0.43366093929933536,0.41396485614135486,0.3727630238876782,0.4986543286145572
governor,0.5028580578621153,0.47720756360030114,0.4333429291046657,0.4674872958649983
warning,0.5085160797654906,0.469578301159492,0.3881506103061238,0.543470783347338
fall,0.4901956637798286,0.4844443994735924,0.4198049810191444,0.5085363655787375
exporters,0.1326444882933996,0.18015798497392058,0.22410584835201042,0.3854632304931152
consider,0.43999953588532986,0.35846365934610397,0.3573598581803697,0.45470313114338645
increasing,0.48548135068273895,0.4607026138429525,0.37189976322198204,0.5139243149090452
output,0.48633729928766684,0.43433414431559986,0.40196623369888845,0.5119649258367363
cool,0.4487121986111589,0.4618409461865909,0.3900007601280278,0.48575432713137306
record,0.37071406857181,0.34755126237804757,0.42441223004494555,0.42325471625486244
president,0.5221869560034328,0.4498794519273817,0.42143686965820526,0.4782164954131069
purnomo,0.2869718922550478,0.29782551875394725,0.1508077780181542,0.30950205380212875
yusgiantoro,0.2915984768879701,0.27324426005360664,0.167387883959147,0.3199388377473785
auction,0.4591887756814949,0.42800658316490264,0.3518741455989843,0.47299924817930084
google,0.4774594659766849,0.4679457217346329,0.42777016827029046,0.47724953790342184
highly,0.4380230683464431,0.4142017944145128,0.3084654782996733,0.4552987837293561
anticipated,0.49213493856716406,0.4796872573345339,0.34742639270733594,0.4830081978657104
initial,0.501410066387452,0.4645221976583329,0.3503478216212528,0.49443706309674257
public,0.5245500032899576,0.48383009813468814,0.40737749578037885,0.5242087518405738
offering,0.5187428837536651,0.47257038490953085,0.342749181569733,0.542467799076624
