_vocab,finance,medicine,sports,technology
wall,0.48025715016807896,0.4414399863404526,0.37982782712126945,0.5359890045575403
dwindling,0.2297620377435576,0.2660037662280499,0.21895452627931608,0.257421485308841
band,0.5105774654396618,0.504178685678424,0.5002946921458095,0.5691783108078429
seeing,0.36659558244373447,0.40200577644410557,0.3109727668171291,0.4120967340894825
green,0.3914331558745325,0.42843777103170066,0.3911333524369593,0.4189485001401322
private,0.4801581520760069,0.41850812901801504,0.405471577355712,0.42561495701774055
investment,0.6301480161402521,0.4926696300214311,0.4477420220368468,0.5765457032736787
firm,0.46315314115322004,0.3945157454643763,0.39147481169079595,0.5528662702383266
carlyle,0.1059770870793224,0.14707450183683163,0.08587811900740415,0.14732846473710276
reputation,0.48023488136091336,0.44269631032440526,0.3535113760506933,0.5152500942241243
making,0.4594838267890381,0.40782812379807226,0.4089574727768505,0.5509296544796248
occasionally,0.3565111060188133,0.3580355623157657,0.3398865948878575,0.416854056231282
controversial,0.44026582583162016,0.42412984594843905,0.35129710198111597,0.48167803022596656
plays,0.39903841208871904,0.38168563472052114,0.4259413998041107,0.3778632004542927
defense,0.4989567988664722,0.4599736118955022,0.39342580471015065,0.4621399974985271
quietly,0.37631173031602905,0.3582600291926538,0.34755881550935613,0.44680321353703994
placed,0.4284019950860574,0.3281815464440372,0.3001730081619299,0.41502326157037184
bets,0.4824006351076888,0.40309776783310824,0.3790609266909181,0.38268013497243525
another,0.3068350588087906,0.38010020274788187,0.310759882214489,0.3315478356351859
part,0.34753450814861664,0.3493454920796979,0.39370190935503524,0.44377730968472606
soaring,0.5007616920851325,0.4558292534753624,0.37389015233068573,0.44754027977871214
crude,0.48517709504569456,0.4087397588773175,0.3385665532536177,0.49259204922914207
prices,0.5127899623109194,0.4670687792116629,0.3949188990841858,0.5206818113376712
plus,0.39203545106135035,0.3603449577565162,0.40212464288986954,0.4031433096670714
worries,0.410684091579403,0.35034717765259515,0.36020839707886526,0.34819202085167184
economy,0.5795469426490014,0.5208476133176597,0.470707783348952,0.5329487773305492
outlook,0.4981456360089527,0.41415586202069654,0.3775957750662758,0.4784890410939004
earnings,0.5392167843367784,0.4300281587191158,0.42534513806479435,0.47857301531900254
expected,0.41740372073822907,0.371206012786524,0.3007448790629421,0.43767018443076994
hang,0.3983161354430611,0.37357918375475574,0.36521305596663334,0.3931596576745589
stock,0.5026223409642779,0.41181049955957866,0.3677602145027069,0.48806650152916875
market,0.540401696675184,0.5185840600327836,0.42087280251835296,0.6110226942529031
next,0.4128772245960302,0.3389573793778211,0.3724572948128623,0.42380166301376737
week,0.40619741395195724,0.3964075140493055,0.33352796358073405,0.45351061950963467
depth,0.538811728474734,0.5166045005667792,0.37441343095350693,0.5482752669476868
summer,0.5017303225740749,0.41911802999970704,0.4415842478669984,0.42091914565650485
authorities,0.43731924947005524,0.43395576342096237,0.40315487249283627,0.38502587335324556
halted,0.41542174586774777,0.34000111227252244,0.32893743559885036,0.4553752916866015
oil,0.5526422970468348,0.57056123900274,0.42206043678035704,0.5337482925897558
export,0.5273168435308404,0.448234757961312,0.49542923600651806,0.5471880177272245
flows,0.5306814816150662,0.4344089897485146,0.39647725520476257,0.4685980822587348
main,0.5022265613293552,0.42233185688008446,0.5049219719179902,0.47670624176227006
pipeline,0.5438745382464056,0.43984133072795195,0.36474892726797115,0.6146052930363937
southern,0.4765402967224805,0.423486608048621,0.3580643379966998,0.46885523083061736
iraq,0.4647659807595152,0.4636418435134671,0.3680122503778949,0.47445355513108983
intelligence,0.6144690085435355,0.5301036338969266,0.512556157223835,0.6127529780264322
showed,0.38818808859614823,0.41120359254010885,0.36999659310318767,0.47626706336406477
rebel,0.43466996516967527,0.4031863895023611,0.33726897303144,0.38171002486354577
militia,0.4865819467891927,0.4725909845742437,0.4234091380899899,0.5084710682327166
could,0.3027014128488593,0.33584866529355634,0.3143188820435654,0.3897386053039956
strike,0.41814071735846825,0.3854233237345972,0.33634640930105264,0.4568783733512916
official,0.36321795553237046,0.41180936146054403,0.3489774930716513,0.387073298780394
said,0.3535702796250216,0.3667615441510988,0.338877514118264,0.37118413421379226
world,0.45491217834291475,0.423691810825054,0.4314090869845829,0.4810286854441907
toppling,0.24947577744640956,0.17928798164793994,0.2030081726104234,0.2272854086356444
records,0.35898682506259516,0.32718019507035767,0.41010264086679526,0.4272336432977749
straining,0.4678961619289542,0.41242006814902,0.40982084703311905,0.5327170185649995
present,0.41162370777836,0.3132497218577485,0.38611001545761503,0.4342265400051208
new,0.3955312163376426,0.39241033489174426,0.4228474550381218,0.443672207903828
economic,0.6358056920159426,0.5238494871289673,0.48803499463896133,0.5571373316179834
menace,0.5369484487643921,0.45995636081903474,0.38340782424035263,0.5578720427363714
barely,0.35021332325809207,0.34000622341396564,0.27527531338027,0.31522082582535604
three,0.3292249995285616,0.29442346114224516,0.24928692434761246,0.33292810493115954
months,0.2903616775723912,0.3067088897585209,0.31742595047231403,0.26461868404654776
us,0.4135191800912221,0.39881274209086015,0.38489268344258815,0.4292803217913204
presidential,0.4447080356677235,0.40546593602526226,0.39553347887350104,0.37442882888344603
stocks,0.5513857675169153,0.4495681155774203,0.4104558731563678,0.4548280147749193
ended,0.323451717799715,0.3481606748579443,0.34232354591023245,0.3503430857147564
slightly,0.4110114235072245,0.4397827948702629,0.32302801660887837,0.40903513119593604
higher,0.44126337065966303,0.38556216215309147,0.36893279660827216,0.43506949584713606
friday,0.4186432547185781,0.4056948116429913,0.37213328247355676,0.4369128293795179
stayed,0.3410121977816169,0.33179628740509515,0.3584025826359166,0.3907584335295177
near,0.44687353047423994,0.3801278177698793,0.35428047220436815,0.5218951009158563
lows,0.2727863148601241,0.2232038601141326,0.22055819222125,0.2611504720393031
year,0.32792435974390916,0.3473886946886095,0.3941057623283522,0.448077820511229
surged,0.4160540892957116,0.3922568519491118,0.3399467730039827,0.4452472790568682
past,0.4218284290954533,0.3814240543023885,0.41174811380897275,0.41465317101985455
offsetting,0.2879383526311246,0.2570771637220302,0.222755514994604,0.35961323676778467
positive,0.334449929674895,0.33055608451981416,0.3715065033952982,0.4096498980045693
