_vocab,finance,medicine,sports,technology
wall,0.5004910697018274,0.4300972923895348,0.2573579739751817,0.3085227237587724
dwindling,0.2977365228515537,0.3557863651485776,0.27454303225951704,0.22424835372667368
band,0.4266209975308801,0.30478209788708077,0.423714665581224,0.31563088218530316
seeing,0.2728033289459435,0.4801635825950941,0.2702884661141929,0.4802180377699117
green,0.29075627045474967,0.35759103102877066,0.4278360023692535,0.36194903186157423
private,0.4523000427704545,0.4936261229406741,0.31110879934872315,0.4449425259582283
investment,0.6424713666028852,0.47901182032341516,0.32091476692242904,0.44243128529242903
firm,0.5787548655194515,0.4223417814837039,0.18260566105345338,0.4144186055215366
carlyle,0.16798400320998605,0.22171752603463896,0.10691153082585475,0.1837917500579079
reputation,0.4501220942770113,0.39996146090628376,0.31823814010173046,0.33685437534398954
making,0.4826929923839022,0.3198577502640585,0.3689792796250533,0.46421936503188393
occasionally,0.1853634911979544,0.3225182422947352,0.29799933896853914,0.4225762650332883
controversial,0.39568767483618245,0.44689416210398336,0.3086081481893609,0.3521760828004953
plays,0.2663898153296335,0.3981004239290483,0.4442031735270161,0.4307117389740509
defense,0.5198081996245902,0.3948711978493483,0.33065067820065674,0.4888850439962778
quietly,0.38161320943500426,0.3252923574651032,0.2698937110847553,0.37559251513059216
placed,0.3219648716321005,0.4028812293297391,0.29892785579195186,0.39505156220349674
bets,0.5288701581499389,0.356865330974015,0.3247210612160295,0.25446191462749995
another,0.4053181483291208,0.27572302761476297,0.34625500472592413,0.24267707755006845
part,0.4963413079810679,0.31486563295030784,0.32574659760488867,0.31141188029425027
soaring,0.48927957413584555,0.32823215806517503,0.33639971250412104,0.38517193562130686
crude,0.46888948423334825,0.3716555942194566,0.3668363387769324,0.44600305348344227
prices,0.5001779994476493,0.34626057404597677,0.32517607949604904,0.4197002633433109
plus,0.4213115437772763,0.32137573027319305,0.2535450669372465,0.3950176273070262
worries,0.3998680371324675,0.3421225000763743,0.31542772687103354,0.3985503346625073
economy,0.5352093540928735,0.43469263967272814,0.33391978648259885,0.4561948244248471
outlook,0.4923929584824614,0.40119200172646924,0.21757420457485593,0.4537026143697708
earnings,0.6409842557621346,0.440385564843248,0.23104134016007954,0.503287248173062
expected,0.4409522482436231,0.3774524096946228,0.2993408793169337,0.3276402073191042
hang,0.3399493450781786,0.32364225568061034,0.24863498747387558,0.3684587083872727
stock,0.5707660545937021,0.39273828337339944,0.28836603993888604,0.3166024459029025
market,0.5168246521793818,0.4202919425007803,0.20899508608025394,0.41807371448359837
next,0.41562105639274394,0.21326235424060183,0.3269912579360084,0.4758063592095463
week,0.4187272324205248,0.22578215352008513,0.30364623554434755,0.3159252538606021
depth,0.49836729316541695,0.25491325778141605,0.40310602746716623,0.4474678258914979
summer,0.4402783913093333,0.37102389423683374,0.46917743310333754,0.267106670620693
authorities,0.36301836231464113,0.5116821236716356,0.4168285716552499,0.4448005896865435
halted,0.32100410529412343,0.43543701468142226,0.3281577448551939,0.37888822459560784
oil,0.5268404325638472,0.34172082564324274,0.39842996264301334,0.44671375146982056
export,0.523058452717137,0.4005078403230044,0.3329214073038742,0.4016981060628743
flows,0.44100884488175807,0.42432400805398107,0.2949558059318487,0.4493386877930882
main,0.3830409192232047,0.3296004514049431,0.24921976762990605,0.4179094843856945
pipeline,0.4449802632354062,0.40967794218828174,0.3307412145134549,0.516163146593156
southern,0.39119058942086,0.4229605383320568,0.3574719888269794,0.3263617180726371
iraq,0.5228600890852276,0.3975991931794741,0.2766855170326018,0.28007657420115956
intelligence,0.6195434307738495,0.4396873668582813,0.35863229319036405,0.46914346816878644
showed,0.3623536941671845,0.4676785528557038,0.3628608743080289,0.26711070146836274
rebel,0.4348584685505978,0.3581652734049967,0.29707851148205505,0.39981145801821705
militia,0.459520495880607,0.4043945723165861,0.338829246670563,0.3632900282030449
could,0.32800258716295494,0.37246419161074357,0.23560019170618307,0.3947500493169811
strike,0.4138172379017671,0.2711464744952181,0.30244637351313514,0.36301773284785593
official,0.4453897842335762,0.3942930495040794,0.3907843977031956,0.370332921228809
said,0.4446609590473127,0.4162958687484326,0.24339326892812949,0.41913193271236626
world,0.2580540973424626,0.3179478648141081,0.3840028376519897,0.4755151165800096
toppling,0.29484681261170304,0.24994863745749932,0.25699715699010856,0.33763394607964614
records,0.28168459709117,0.3718219166521519,0.3779369617443952,0.3879223828766531
straining,0.24029446261840287,0.49916377535430595,0.32729073143023757,0.4780613289002424
present,0.36917537720824417,0.37051673264764995,0.29203392336782946,0.38055978928481976
new,0.3134954787136909,0.37071902775502436,0.2829221629382488,0.46214965797528207
economic,0.518422599244225,0.4217131991113646,0.4001377787760725,0.44778682820161414
menace,0.21133539439551627,0.33920985106244217,0.2893834327579242,0.4137392644961069
barely,0.24800580570344663,0.3963291336509461,0.37530160183180483,0.37118083226562826
three,0.3847517066585238,0.27170171027856815,0.28725689254949516,0.3671307077285386
months,0.4531632888649195,0.31432585818611786,0.24757284780903652,0.294693494076321
us,0.5240446599994959,0.33775396254883416,0.2449510870980596,0.3110261756967328
presidential,0.4323231278225591,0.39104116068660605,0.2895806307947843,0.3575464895696783
stocks,0.4374633640589,0.4543610405109294,0.2618181155108209,0.4282320510346083
ended,0.28866688153984643,0.3660868801302987,0.35244929151188975,0.35513273363684655
slightly,0.36343864824777883,0.4716505378328824,0.14790918854382676,0.3772150625465216
higher,0.47065751797826205,0.4261054778822764,0.2856494602519904,0.3432800363217253
friday,0.3865775807410677,0.39766631378922657,0.33214183526288543,0.27648678465114673
stayed,0.34426577592333857,0.2652676252516344,0.34758975269395587,0.2901067408369696
near,0.3238720562880215,0.4138168602556629,0.25359443219616995,0.3946487921428324
lows,0.31446264382837835,0.21790203704069128,0.3011226872745231,0.34269182783983787
year,0.3603909275346297,0.2934718655675167,0.35755411395085673,0.40845855463177266
surged,0.43010048807641993,0.3511780477929192,0.16740960829383278,0.39676764472998227
past,0.3604049020204558,0.29317402457658104,0.34838899097850734,0.40833226364271547
offsetting,0.3454626124747198,0.2941575181565669,0.18992057282240704,0.41856761749922755
positive,0.37265898553666965,0.4672855380777562,0.334244013142553,0.35896343278796883
computer,0.493968308116052,0.470842891781181,0.25702416238524445,0.6244042205238982
maker,0.47301424022506433,0.4472660496699372,0.24011908375638927,0.5761445152167011
dell,0.5365657696198447,0.37050610991139676,0.1744794884150023,0.4900378520622588
assets,0.6556774944580537,0.3961071722503747,0.3483766103594144,0.4450733034329833
retail,0.5984136201824783,0.5133479420011641,0.3860003987980517,0.30851845807462175
money,0.580790799258627,0.33865249852775514,0.40359975517064856,0.28471370697403153
mutual,0.49858878150067865,0.42845485415141393,0.3295949154717524,0.34806090506470777
funds,0.4791839956900757,0.3717479181066878,0.35385195106714395,0.262242640954565
fell,0.39740118401579966,0.43187782869138264,0.2554519570236085,0.4022429491625712
billion,0.537555498996567,0.3701065987433324,0.26290267254993055,0.4327427420167699
latest,0.4211962619565947,0.334651634649181,0.3291042374488525,0.3849879689002054
company,0.590125425254931,0.4002454815669655,0.25875291845320875,0.46211167467269715
institute,0.31997832243990076,0.5970063524585824,0.35007541266322356,0.5681445348921329
sales,0.6071165000953662,0.5113376358306387,0.3038235073169112,0.44435226016357526
bounced,0.37401322881792853,0.3392921695529306,0.3085965303065409,0.3061504430181581
back,0.39590870229379627,0.26290386477159355,0.31001953368183177,0.2867698273132642
bit,0.34107428492712205,0.3530000574537306,0.3167603265417105,0.34245632344110855
claims,0.5362183286550019,0.31252876096349225,0.10837846432813251,0.3518022965818187
jobless,0.37060180310748847,0.3195562491248323,0.2020039568737913,0.28687828252403685
benefits,0.5871934373750314,0.4853714257247111,0.23621385449766394,0.36593562907857763
last,0.374768221888172,0.2952435189102472,0.3859686063570149,0.26132948519548616
government,0.46948500270732774,0.4959121559840061,0.2960629669397776,0.41620536953635434
indicating,0.48682757887798483,0.4353285285569021,0.16310281086203915,0.3561376584559267
improving,0.38480906021538924,0.41004750734188106,0.19296560104610888,0.532252763897525
earning,0.3655731939530249,0.43307981836054926,0.425284799168705,0.32347044344395515
danny,0.35532348340401815,0.33104409609911123,0.3920166540118652,0.3656393579935906
riley,0.4286099450172001,0.38804706615450074,0.3915049569560972,0.37149618529411765
started,0.24386180280073816,0.30582833158159667,0.2919336413194257,0.4879358613258148
work,0.4472210611098211,0.3975146243808408,0.25088407682419633,0.5349098660422223
general,0.54463023061418,0.42956358362415226,0.28605466789414374,0.3376816715524499
manager,0.5099222314206833,0.3886493123409275,0.5010491586679622,0.2613081734516899
commercial,0.39520286523528614,0.4648094335897651,0.23531339915467944,0.610887677326751
real,0.45115763932328196,0.33449891270541593,0.3326238192855585,0.3478428417384516
estate,0.5761176769419302,0.42876353213374957,0.31993688318924784,0.22834799600767727
annual,0.3929900915039141,0.39297028034813375,0.3494594088606936,0.385205642977407
base,0.48999213605320047,0.33852275585669017,0.35401565904405863,0.4304625386099144
salary,0.600901248716389,0.37963085949706227,0.4527665949699,0.2603746156801665
soon,0.382985675711555,0.3437627564279361,0.25152891165451696,0.30855067395458796
financial,0.7818453391873249,0.4569651806651663,0.37495961509580783,0.3831546404422859
planner,0.5406584047703809,0.4617421386086712,0.2358807587797218,0.5423065371696812
stopped,0.2665904152199378,0.33485753271670127,0.2559152293330937,0.41933183552016845
desk,0.4948117558334612,0.40170287323516046,0.23235781083678142,0.4967636762920725
drop,0.4540782428708693,0.38727399856051214,0.34518868982451045,0.30844135476972956
insurance,0.6663650122364658,0.5424494875124057,0.282764742416815,0.40270442405021417
available,0.34363269267562424,0.31603454241311124,0.30198479862911837,0.4241988868982135
furthest,0.2397275490075443,0.24072222024989076,0.29110928767305205,0.4268713596445648
thing,0.31264882291990564,0.372764392544188,0.3440434072380419,0.4662444890141269
says,0.41984853561345337,0.40454157972662524,0.2589693288758444,0.4144206846727453
opec,0.30329025434477713,0.23133756012164766,0.20359240447074742,0.2753606975300276
nothing,0.29154418380552255,0.3745234380134797,0.38850693262499764,0.35926314292524497
douse,0.25269088112093,0.2875026424370593,0.2994492215996404,0.3060370365240727
scorching,0.20849906495710616,0.21397489903968678,0.19183504682654914,0.16948355427325873
markets,0.5605386104497089,0.3706952997978219,0.29220294830247945,0.4984313059826682
already,0.36048694705208084,0.2966199221697967,0.31383566791422934,0.3482619798324646
million,0.5089923936744363,0.31670528370887385,0.23760994641240318,0.4074914919752378
barrels,0.5441365396757815,0.27043941730285065,0.34190896214618993,0.4471137157680243
per,0.4430513163375845,0.2588749865499222,0.1842952772740427,0.49508550119272743
day,0.2833533618474229,0.39270077816190846,0.2818237893443122,0.36177362938533747
governor,0.41997442688227077,0.38849069980551076,0.34431067415909233,0.24401508260677912
warning,0.40106806658984245,0.4860047803055305,0.1862855863523919,0.42496753236422563
fall,0.3740672959377547,0.42823491258234175,0.28110140974867287,0.45655789366705607
exporters,0.16697091471957673,0.18093514004054134,0.23461117891994895,0.4114600058664606
consider,0.41206178035943947,0.35349800173116874,0.32571647161768563,0.3930738365545196
increasing,0.4553583370236678,0.37687344009938034,0.28390136816865025,0.43861476981433967
output,0.47255681326764104,0.3249021793193659,0.30990115023178316,0.4400974046478261
cool,0.23447844260037906,0.3314066213779479,0.303007513760881,0.44554252418852786
record,0.2990384513451125,0.2699947226725764,0.4386958720994427,0.4021261590109917
president,0.4462455118750565,0.3805955721739408,0.3466914568424999,0.3789245930806774
purnomo,0.32183178956639663,0.2841046524081523,0.17496210170363483,0.2794444161171383
yusgiantoro,0.327149658351716,0.278313408679707,0.19160244684541433,0.3167479490187558
auction,0.5215964991367659,0.28198548190960704,0.29246471781646044,0.3110221042786944
google,0.5195861081806745,0.3492488487528919,0.3423975437602525,0.42614574899252405
highly,0.42139739587437125,0.4233091110795146,0.2906820387680713,0.38499099652990215
anticipated,0.49370729537586616,0.2808048858992671,0.3610617494085,0.24593686221140404
