_vocab,finance,medicine,sports,technology
wall,0.4993235650341525,0.41894403593585894,0.23623527141921336,0.27657053843602647
dwindling,0.3218692343576746,0.3893747473763675,0.305158114286356,0.2058691706398514
band,0.40520675470006073,0.27102527781298924,0.4079144112359446,0.28096222745442706
seeing,0.24489135521455585,0.4851362620946716,0.2598804512350198,0.46729061139941025
green,0.26281751790997254,0.3353177204040113,0.4164663601018433,0.32843451001356827
private,0.4277848673944733,0.4785207980943215,0.29110769815385834,0.4216868796631901
investment,0.6289379500408153,0.4573631117558543,0.2996828502057436,0.4009617395777763
firm,0.6061207382473262,0.4048678070943079,0.16153855913751614,0.38703731331948077
carlyle,0.3641781784685333,0.33162034327438966,0.19186340742894403,0.25307083831920535
reputation,0.4350469716330565,0.3761799895969741,0.31116568119334065,0.3034072764863329
making,0.483099380872036,0.29141892630271776,0.3790078128201398,0.43866187846412136
occasionally,0.16004209798749466,0.2911423289596427,0.283853353662938,0.39982673093709653
controversial,0.3673277391532739,0.42340468322666747,0.2960533932348118,0.321399508926728
plays,0.2407674613428808,0.3870446386003104,0.4787814073538748,0.4318560953803591
defense,0.49509429043550696,0.3644540237361104,0.3097051513207739,0.461471563228554
quietly,0.3659941770658056,0.299786547363375,0.2536942576839673,0.3432185064757995
placed,0.2970024528595387,0.3996386826982193,0.29839304972364716,0.3823432423945186
bets,0.5300195668639954,0.3315164235512804,0.32896357294182116,0.22618578907913697
another,0.39230636429577004,0.24771894585064683,0.35338892142276185,0.21341632060053584
part,0.5761097641721926,0.3020953553029073,0.3198209114527386,0.27824079237444427
soaring,0.4731026687013372,0.29471620957775774,0.3296440154116624,0.35687006396357523
crude,0.45141948051890085,0.3404423476715179,0.37366984569778733,0.4179254908677126
prices,0.48022340056659557,0.3136288050317729,0.32014268276189867,0.3925914315276073
plus,0.4131563623749909,0.2975556059476455,0.2383421471712771,0.36942750122043977
worries,0.3843088120463069,0.31787763738680225,0.3129980429853852,0.3788419934785349
economy,0.4983052251167332,0.3922321571288381,0.30426671314804526,0.4171762895849704
outlook,0.47964944229019557,0.3805520393671721,0.1949654370749034,0.43200263892604407
earnings,0.6608217284795646,0.4217400017071268,0.20688843220507136,0.4927215384701909
expected,0.4318815630219455,0.35369275345672224,0.294120960471025,0.298518491783832
hang,0.323253557193433,0.30787948213285454,0.2265070449770959,0.3529745032910309
stock,0.5973419626213505,0.3770640091527858,0.27947926684574453,0.28606795879391195
market,0.5016761532440035,0.38967212593180484,0.18618375619688918,0.3836912735324127
next,0.40395137682286797,0.18934110746776386,0.31940913787633685,0.460128589828354
week,0.42129198484090224,0.20005712690474015,0.2960883530511709,0.29193165445282726
depth,0.4852137654626314,0.22373099334232627,0.42698643633108063,0.4240792110663783
summer,0.42067609458080046,0.3443246940638487,0.49518655068311007,0.23810604738693616
authorities,0.3256917526694421,0.4852354057177386,0.39721525240864164,0.4186209394986858
halted,0.2962456219898133,0.4312680907986272,0.3392330421507004,0.36063565219379595
oil,0.5039961716378843,0.3026010925644248,0.38980658600496654,0.41354376066126386
export,0.500849690289679,0.3642740733559317,0.307413788196629,0.36349810839494023
flows,0.41417018158813534,0.3993668149864886,0.2828748024506316,0.42563032030845044
