_vocab,finance,medicine,sports,technology
wall,0.517497718334198,0.4607827365398407,0.37982457876205444,0.507666826248169
dwindling,0.2664196491241455,0.2764141857624054,0.2298886924982071,0.30071789026260376
band,0.5261769890785217,0.5474400520324707,0.4919154942035675,0.5555723309516907
seeing,0.47058263421058655,0.4581298530101776,0.322103887796402,0.5113865733146667
green,0.4750731289386749,0.44780346751213074,0.4772636890411377,0.5447584986686707
private,0.5661129951477051,0.5405775308609009,0.4119952321052551,0.526810884475708
investment,0.6963607668876648,0.5569228529930115,0.4284404516220093,0.6785169243812561
firm,0.5254476070404053,0.48118796944618225,0.36238470673561096,0.5255305171012878
carlyle,0.1031171977519989,0.11092080175876617,0.07140590995550156,0.08403941243886948
reputation,0.5180221199989319,0.495248407125473,0.3545239567756653,0.5348853468894958
making,0.49555397033691406,0.4716837704181671,0.35485750436782837,0.5585250854492188
occasionally,0.5453766584396362,0.5086525082588196,0.3661331534385681,0.5027554035186768
controversial,0.5434612035751343,0.5364862680435181,0.36820316314697266,0.5082466006278992
plays,0.437848836183548,0.4283965826034546,0.38105282187461853,0.41079095005989075
defense,0.6280080676078796,0.5400633215904236,0.43463367223739624,0.592759907245636
quietly,0.4559371769428253,0.4462263584136963,0.35251402854919434,0.539171576499939
placed,0.4621640145778656,0.40439143776893616,0.31372401118278503,0.4244329333305359
bets,0.5383402109146118,0.46921664476394653,0.3257182240486145,0.44891974329948425
another,0.46679526567459106,0.4495989978313446,0.33952370285987854,0.48411041498184204
part,0.37930116057395935,0.35374534130096436,0.35764792561531067,0.5283396244049072
soaring,0.5598383545875549,0.5407493114471436,0.3710228204727173,0.5082587599754333
crude,0.5461607575416565,0.5313176512718201,0.36035624146461487,0.5580542087554932
prices,0.5867629051208496,0.5334911346435547,0.3539546728134155,0.5281893610954285
plus,0.46338963508605957,0.42896348237991333,0.33220723271369934,0.4959588050842285
worries,0.4727320969104767,0.4487874209880829,0.3357635736465454,0.4625133275985718
economy,0.7148844003677368,0.6930079460144043,0.5094374418258667,0.6579067707061768
outlook,0.5489488244056702,0.47757792472839355,0.3808468282222748,0.526475191116333
earnings,0.6005364060401917,0.5044687390327454,0.40554431080818176,0.5254142880439758
expected,0.4856588542461395,0.4751586318016052,0.32938235998153687,0.4762026369571686
hang,0.42285728454589844,0.37751930952072144,0.38465213775634766,0.4109868109226227
stock,0.5193638801574707,0.44364145398139954,0.3327564597129822,0.4884556233882904
market,0.5818347334861755,0.5612277388572693,0.38518190383911133,0.5867263078689575
next,0.4711674749851227,0.3848663568496704,0.3649407923221588,0.5187427997589111
week,0.427242249250412,0.41707462072372437,0.3422042429447174,0.4182172119617462
