_vocab,finance,medicine,sports,technology
wall,0.500254213809967,0.4718824028968811,0.43824896216392517,0.5939140915870667
dwindling,0.27604493498802185,0.3185717761516571,0.2815517485141754,0.28787392377853394
band,0.5462841987609863,0.5123357772827148,0.5558623671531677,0.6112155318260193
seeing,0.357390820980072,0.4128285050392151,0.36471694707870483,0.39829784631729126
green,0.3895580768585205,0.46001526713371277,0.3841947019100189,0.3939594328403473
private,0.4663829803466797,0.3967987298965454,0.4548221826553345,0.4091881811618805
investment,0.6126845479011536,0.4890831410884857,0.5210339426994324,0.5411768555641174
firm,0.46635618805885315,0.3909622132778168,0.48395633697509766,0.6086845397949219
carlyle,0.22164878249168396,0.2563892602920532,0.23683008551597595,0.2884577214717865
reputation,0.49979397654533386,0.45119985938072205,0.4134169816970825,0.5346930027008057
making,0.48255762457847595,0.4138106405735016,0.5384776592254639,0.5766419172286987
occasionally,0.31789934635162354,0.3368678390979767,0.3775304853916168,0.408141165971756
controversial,0.42173269391059875,0.40545031428337097,0.395922988653183,0.4990420639514923
plays,0.42613470554351807,0.4000234305858612,0.5371108651161194,0.40047016739845276
defense,0.45976191759109497,0.4514318108558655,0.41437941789627075,0.42888665199279785
quietly,0.3785351812839508,0.3590719997882843,0.40395718812942505,0.43142035603523254
placed,0.4565422832965851,0.3381853997707367,0.3526259958744049,0.44976675510406494
bets,0.4879738688468933,0.40844014286994934,0.5130972266197205,0.38718923926353455
another,0.28621771931648254,0.38647976517677307,0.34909260272979736,0.3136753439903259
part,0.38558974862098694,0.39906105399131775,0.49599194526672363,0.4323361814022064
soaring,0.5021504759788513,0.4453493654727936,0.4359506070613861,0.4475700855255127
crude,0.4869014322757721,0.3883269727230072,0.3800778388977051,0.48535361886024475
prices,0.502772331237793,0.46501725912094116,0.5046201944351196,0.5487231016159058
plus,0.3972952663898468,0.3695957362651825,0.5648105144500732,0.393239289522171
worries,0.41978293657302856,0.3480657935142517,0.4501909613609314,0.3384389281272888
economy,0.5265241861343384,0.4645553529262543,0.4861346483230591,0.4921969473361969
outlook,0.5058004260063171,0.4196472764015198,0.432861328125,0.48259565234184265
earnings,0.5349157452583313,0.42791876196861267,0.5016727447509766,0.48335304856300354
expected,0.4217197299003601,0.36364826560020447,0.34011971950531006,0.4512803852558136
hang,0.4373762309551239,0.42160746455192566,0.4062969982624054,0.42385464906692505
stock,0.5380836129188538,0.43629321455955505,0.4722049832344055,0.5241049528121948
market,0.5508671402931213,0.5257753133773804,0.5188981890678406,0.6599584221839905
