_vocab,accounting,pharmacy,baseball,robotics
wall,0.29888186200518324,0.2073560585035208,0.09615788279928167,0.030710299560814485
dwindling,0.20357600958474636,0.17715691370732303,0.17818678620475792,-0.04754679776450332
band,0.21020827644722342,0.0324439890791768,0.2588866394274085,-0.00760853598645521
seeing,0.009519775559874438,0.26817373548125983,0.1644691855395074,0.20409026498912938
green,0.021299108220483354,0.0899452804417691,0.22100493725455642,0.08888852766138536
private,0.18965857015921456,0.2389556130049341,0.10715906014548936,0.20739977473673646
investment,0.4136208289783807,0.20914334390169553,0.10964983426010448,0.14497219339323184
firm,0.4099513765591811,0.15554377117253818,0.004867791642838658,0.16274139941815388
carlyle,0.5228563286992671,0.252740470597216,0.15905208252911462,0.10311552027389372
reputation,0.197016936258096,0.10367520918499427,0.19327467197246176,0.05478452569267948
making,0.24953565751903306,0.051755945557598694,0.22898694997649355,0.14929547332228035
occasionally,-0.05406819193624081,0.01853949519911304,0.14556680350884071,0.15968786091000892
controversial,0.13420578433828104,0.20017223123473435,0.10131818964739567,0.07411091973065807
plays,0.029489616156228308,0.14624031097180626,0.33051972059320617,0.1734071463096108
defense,0.2411862319513189,0.1195023079499848,0.1305811554097597,0.2172602701740348
quietly,0.14856040554455865,0.05550859465256193,0.05905820185113601,0.08997305774884162
placed,0.07291017872826727,0.1832549367809132,0.11760419436663377,0.1453886101437867
bets,0.3195466394538605,0.06975229690207815,0.18286416153405669,-0.01390555088104214
another,0.16674564494880395,0.013560360733797096,0.21541069525415854,-0.012751173966646226
part,0.44486717459095904,0.08045943360480703,0.14460518192190655,0.024522207107235083
soaring,0.26057039559683426,0.05371796459130416,0.18925985898300463,0.1024114151525182
crude,0.25966067822802413,0.10776757760460019,0.21658771856350767,0.1265134683888021
prices,0.2665914921318909,0.06564236699089529,0.17777216683297348,0.13384847394182284
plus,0.18085555327965672,0.06791489320756239,0.06994546517146306,0.1250711044038972
worries,0.20744230044134396,0.04184521787021859,0.1772018969993313,0.13608538443108012
economy,0.26941255092749183,0.12760999782353788,0.11862956412722277,0.15934724115842136
outlook,0.25027822543527384,0.14991017672847715,0.04461679707194191,0.22119245116874092
earnings,0.4681933117777047,0.17803975837008035,0.0632984122833719,0.24692756932998686
expected,0.21481130467775075,0.1326299715858963,0.11007196211287613,0.03630770307537209
hang,0.11234832408626749,0.07705627949680896,0.07409537569959014,0.11962021686899628
stock,0.41806415713492073,0.14649201470844708,0.11005433489313142,0.04989423820561259
market,0.29461756137600287,0.1570035705751582,0.038840697876271896,0.13651940313109673
next,0.19851741729947345,-0.053345362148091595,0.1180301860259762,0.22717122239136672
week,0.2327721948563444,-0.06740345967393385,0.12723510890823178,0.03794146477342026
depth,0.2665265924160974,-0.029047603827626816,0.31705631829085446,0.1804987567941467
summer,0.1926550311939169,0.1113366769755537,0.3549687210215603,-0.002188880188712077
authorities,0.11239813946405683,0.24185520432950747,0.23956640088227568,0.1441223695712715
halted,0.10271243923323244,0.18810833840066934,0.20566937436210225,0.12671523762654782
oil,0.2961597434250368,0.05928217944529276,0.21540192986352852,0.13097581493388452
export,0.25084970266439977,0.10891811016168611,0.12026428968930579,0.11641352017810688
flows,0.19831467576344589,0.14793735147354972,0.09630324294894502,0.17001907856956236
main,0.1367596168624196,0.06245606920754653,0.06495942053493635,0.15040122572128292
pipeline,0.18806467763023407,0.12890397405056492,0.14549874282776243,0.23060420297177853
southern,0.12241934926342189,0.2004640452414128,0.19875580626058348,0.039388406012748685
iraq,0.3096936830490085,0.13694448000448722,0.09528939040100243,0.01868611479429186
intelligence,0.38429841729867736,0.17716048849642374,0.1358206173807404,0.20320289370493932
showed,0.13284040920218915,0.2886557728170351,0.20610633853078972,-0.03403692870880758
rebel,0.25428202216724316,0.05512932990442106,0.13010608124678755,0.1052322679595954
militia,0.2561833389324497,0.13635095528016283,0.19050055199743668,0.03148103173810426
could,0.10614554042839737,0.12422783171059643,0.05991060215614647,0.13702789903042278
strike,0.15729899959989138,0.00012820717070676809,0.15641711015553797,0.0715724571764719
official,0.22119097689768585,0.10053367894897236,0.2155324963254958,0.10363874056539407
said,0.2697919566922824,0.22056496531158254,0.09111785697717326,0.19427469674859257
world,0.00735519811103773,0.031592467445353774,0.2039934543958473,0.19792332732123863
toppling,0.11676230424618028,0.009831753039177528,0.13716753258783282,0.12914082525578557
records,0.09629939957712555,0.28819707748821133,0.23681679613319548,0.14233031071786878
straining,-0.006735893350217724,0.34413614009795834,0.1747285285453411,0.23990118124334373
present,0.14388919074483786,0.1690894734543585,0.11961142195742731,0.13010634939453222
new,0.09841697143378009,0.11434225346004655,0.10403703471417632,0.16860514862271883
economic,0.2504551936383187,0.11815950978723705,0.17101221785839218,0.17121397781764275
menace,0.003916317251385698,0.05455861757381566,0.12085840929005472,0.10564215696953289
barely,0.002051765945484257,0.14529197867387086,0.24601155042451422,0.097925359361153
three,0.15677397783464414,0.013523640737854727,0.13053240378268208,0.09057272900822054
months,0.24728656686004327,0.03446094685539479,0.07184711112097941,0.04079369556219409
us,0.3239219203026622,0.06967546273625076,0.05864745193620472,0.037686045786453085
presidential,0.21107508481204384,0.10986396849128656,0.0664029215152695,0.07608113884808207
stocks,0.20655476570632855,0.20057079862934332,0.08237864741177996,0.13034454509353935
ended,0.06526696347647476,0.10548708297881057,0.17868936499921678,0.08666974405893703
slightly,0.12581919382617127,0.25422042313211757,0.0008477504687946411,0.08480224336391845
higher,0.2834962385853099,0.21285615646597794,0.1428514109922388,0.0625989916687302
friday,0.14204691076128878,0.15416120472595243,0.14955318141370522,0.02700543812055923
stayed,0.10374694908123774,0.002657971590446912,0.2024531237384023,0.0514675382681081
near,0.07593255248478191,0.17709646877746177,0.10206501482585274,0.09049695221488205
lows,0.18441471923426286,-0.004886691468566751,0.25004512552213537,0.09729656557337923
year,0.2172216238347634,0.03918471514274886,0.18745038020837188,0.17062854536974922
surged,0.24236578690585456,0.09863915881118968,0.028094084420000925,0.11153172508303247
past,0.15226555627135138,0.009215725403649599,0.15323793676003553,0.16205349327962035
