_vocab,finance,medicine,sports,technology
wall,0.5125919022002632,0.4389791724861173,0.2895860728268669,0.3416651920966318
dwindling,0.3100489331769534,0.32883797910649354,0.26175666410817344,0.22356410542458807
band,0.4657123853970451,0.34662613976296314,0.4535857256363554,0.3105959424711612
seeing,0.2888520084422715,0.46736067311986784,0.313618860110437,0.4767427786248095
green,0.3014089161204136,0.36548123128786236,0.4216084017038373,0.4027979480025956
private,0.46753953943428345,0.48896524409638087,0.30908283125031866,0.48494969102796465
investment,0.6654233466073394,0.47761099349577574,0.31619254475665526,0.4847348833502496
firm,0.5691932422334012,0.41808084537224216,0.19221928763379145,0.45452458430449055
carlyle,0.14165658986714816,0.1945987557957499,0.09144797237182273,0.1647413421897406
reputation,0.45379581071022196,0.38926008679524393,0.3469080550022131,0.37008631978688866
making,0.4749385405281693,0.34539224252772466,0.36617207831920956,0.45547736330695604
occasionally,0.2258245639756197,0.32705523701113914,0.32256155759805005,0.4443768746249477
controversial,0.41817158057714116,0.464872439418655,0.2901066548492523,0.380823900848314
plays,0.30011541987858514,0.39268537649371305,0.4288700391007588,0.4154663812381602
defense,0.5270411672470346,0.41327175014934653,0.33635358323509,0.5160834448784456
quietly,0.3965397535118399,0.341352890057257,0.2483255571972055,0.40229561645622647
placed,0.34385993667322573,0.40157428753562435,0.2809334213247039,0.4050143516333383
bets,0.5343684479280189,0.35794767104145103,0.3256804404362415,0.2864537816855939
another,0.4127734824021403,0.31040944143813143,0.35038918188251283,0.2938564948760363
part,0.47194286249225703,0.3263324647074228,0.318272499752506,0.33978371958179426
soaring,0.5117827291461731,0.36320410933067643,0.35294787909128794,0.40402721803093794
crude,0.5050162513905024,0.40243982238202874,0.3628626209424575,0.43756658579555896
prices,0.5273624948144483,0.3711838175297522,0.337616557376109,0.43433664070549355
plus,0.42000999781784615,0.3449261781809693,0.2521039514528126,0.41751528724734593
worries,0.44006988089130905,0.3320682970928572,0.32798146204712875,0.4137539380030139
economy,0.5787160047980269,0.4568158732429157,0.3463385235889927,0.4919044480717145
outlook,0.500634981870642,0.4133847757541137,0.24082512348433574,0.4935008020642585
earnings,0.64113921752241,0.4400016172939741,0.26578765376900254,0.5085825239339329
expected,0.45045469896133905,0.4019027454900068,0.2824149267693917,0.3399082160546912
hang,0.3591910149469456,0.33345749840078986,0.2711694318253418,0.3834608694365734
stock,0.5686717037094696,0.39879156849470465,0.2837630122834013,0.35491754134718756
market,0.5422149988560515,0.4454964934303441,0.23553224066653336,0.4537328445147214
next,0.4341237830736236,0.24078778175457585,0.30213162028107965,0.49397383318431726
