_vocab,finance,medicine,sports,technology
wall,0.4674529391860219,0.44815696266998106,0.38201996223278467,0.4995963556833762
dwindling,0.3814070077677814,0.4266078466514749,0.32175169658167285,0.41333458817213053
band,0.4980899357631502,0.5067154349358353,0.43230586707067375,0.49921616840003746
seeing,0.4486345753842253,0.4310431865575706,0.35793971913641637,0.4627617356086236
green,0.44069786802456407,0.3857383593587593,0.38300027424946326,0.5003217944341366
private,0.5023397687056991,0.46185252860724896,0.4072891154140987,0.5522239098998877
investment,0.5060354881422023,0.4506632958517697,0.39145698283408087,0.5504250800554739
firm,0.47472880362026443,0.41680635525926596,0.39748776351017895,0.520365146217997
carlyle,0.21522889587249652,0.26571013913713654,0.17875462677581663,0.2621443177784187
reputation,0.5138570739080144,0.40590168071489036,0.40868227328204115,0.4910775318386537
making,0.4591990894007223,0.39850818743535654,0.36046190913677856,0.5417897526028483
occasionally,0.4892574567229615,0.46229654427574496,0.40543529610963613,0.4601317286419197
controversial,0.5052482021555638,0.4397049660677476,0.3724304875853185,0.5085381764673828
plays,0.45265346552769925,0.4486976861699455,0.3601824868214386,0.46447635704560764
defense,0.5593448553803532,0.4721958491148742,0.4087850434473117,0.552590723074091
quietly,0.5121662753604724,0.4868571677929716,0.4016404932390754,0.5003420240568917
placed,0.49082885631071516,0.4530469058196956,0.3510390615970525,0.4646507995149226
bets,0.48417238499657733,0.4348610505892577,0.37575534642874237,0.4576188355135497
another,0.46331366256442225,0.3946151075631754,0.4231736349913563,0.5138724664196315
part,0.47273544368234555,0.4113180167764041,0.43620384925207695,0.5194246442609525
soaring,0.5090638174109908,0.4973680855096522,0.4380567675126448,0.5197580725047365
crude,0.5296505173532254,0.4573037358765994,0.3974370744995235,0.5320616737592628
prices,0.44348535268105527,0.3636808674955811,0.3554358253720354,0.5241149043204942
plus,0.47566195075143997,0.45929503246036246,0.376093943078082,0.45679901135268586
worries,0.44033839145140335,0.4518798233390615,0.4011658050472023,0.4986406537964956
economy,0.5724788158816789,0.49165933311124427,0.48305927619741906,0.5657213551252166
outlook,0.46985840468005846,0.4363381250089045,0.3982074575509731,0.5403191875455359
earnings,0.5078828516798524,0.3583295019543656,0.35783384031573984,0.4376102205445341
expected,0.47310674750033066,0.4412612863687452,0.35391743281316135,0.5114170121087109
hang,0.4217433212590522,0.4549261945516457,0.41862230825532953,0.42588314262579274
stock,0.5080697365438533,0.3997692890891411,0.3407700981892219,0.5187828297737719
market,0.5482283000715836,0.45177434845741415,0.3633713011416693,0.6035463569988152
next,0.3905508377270204,0.40549988454999825,0.31609405891421244,0.5182744779094737
week,0.4533901107775758,0.43332243647345775,0.37332846290741906,0.48718766206381414
depth,0.5260536145716935,0.438400517273121,0.34932403322333977,0.4338968390122399
summer,0.47996223718419406,0.46501528409743453,0.43488536236111286,0.5318059129265771
authorities,0.555087739395451,0.47884357743551775,0.44322832000143997,0.5510931039622083
halted,0.4646380861419936,0.41736228473861775,0.39963941205701886,0.46518017237145004
oil,0.4719664206709615,0.45452330198598073,0.39792189947594686,0.550296242235776
export,0.5205252252550112,0.5054599669572192,0.47097357541163243,0.5305241733953183
flows,0.47933715187181886,0.5092771117714732,0.37028722043391743,0.42629806279232746
main,0.5390377299819478,0.49274448290897943,0.3939112639334567,0.502103961336983
pipeline,0.4560470886888158,0.459346351295999,0.3673818290774402,0.4423546356757874
southern,0.4872637093555656,0.4158710660099318,0.35202367775649285,0.5071919227519325
iraq,0.4826216444022831,0.41723700261436686,0.3926426628051145,0.5511030196121197
intelligence,0.5229008260800174,0.5060133954432826,0.4239975258104888,0.563222652028634
showed,0.46728075987396805,0.4313372142781934,0.44183553416913696,0.5261353646187822
rebel,0.4548952200081837,0.3761562268486829,0.38060336014867546,0.4417886452385859
militia,0.5154951370439567,0.45880197532124334,0.38140757849328055,0.5431157981986295
could,0.368707318931048,0.3652195934371802,0.33204504958848785,0.49320849563583036
strike,0.5045220188685241,0.4602448659889868,0.37041340060491357,0.5108225520575461
official,0.4641973776434211,0.44096302674117543,0.4035819627493018,0.5540219204689999
said,0.36654855235805067,0.24759844687247845,0.3646893906016559,0.4157914309302691
world,0.5179963895515757,0.42363473059766205,0.4170762607114146,0.5202566599613598
toppling,0.42987660131343425,0.38830966277492857,0.34509405949640054,0.4408967950332797
records,0.4327281480156453,0.38161857841098396,0.4178563681862669,0.4903016041086546
straining,0.414563515739882,0.39500688098804737,0.39833420117143237,0.39536898467399995
present,0.4728060150719588,0.40207035773095606,0.41599431571174456,0.4670426278618728
new,0.3967475557118224,0.3760490753694145,0.39711298625117447,0.4974543084513116
economic,0.539418245433287,0.4581238493934344,0.43899327710838526,0.5722507837851594
menace,0.4134558297217888,0.41939028996684813,0.3587153400565373,0.400007416462354
barely,0.4501910269431164,0.4447839050548263,0.36464502158263384,0.40138789431824795
three,0.49613415733951705,0.3553470258350993,0.3485822378550955,0.516157539831954
months,0.48762469289007354,0.42177588240920366,0.41518342997745455,0.5380112934123277
us,0.3989535622658288,0.3841967442725076,0.3577291157185106,0.49454570906121875
presidential,0.5014175012878467,0.4291857316597743,0.4420305509155251,0.5080213572314762
stocks,0.5080886152908503,0.4491664020868725,0.42941969997805707,0.5343437434923463
ended,0.4451351625451074,0.3960383335164029,0.4487714822001314,0.4777957272792414
slightly,0.5247214315488604,0.45734629380996217,0.44047373472176393,0.5229791469698748
higher,0.510923366955695,0.3840270377287114,0.42243785795800604,0.4911574622179155
friday,0.44393932823485627,0.4126011390936149,0.31855815530040804,0.44409469637114807
stayed,0.4574136121113852,0.423141283451306,0.4193348630393198,0.47968566707925997
near,0.5056269810355037,0.43329356570371486,0.4016362921254776,0.5562616043603462
lows,0.39050290606223786,0.340057621480215,0.3221619579431034,0.45555043240768633
year,0.3666786472457624,0.3621522246352983,0.35203919702447417,0.5117035931988556
surged,0.40554507277746177,0.4044427685487453,0.34875042674731166,0.45405112309197854
past,0.4679080299213392,0.4566104591319621,0.43144428374968236,0.5262930648812947
offsetting,0.3773270299870033,0.37241030358707544,0.3256371295407461,0.4583039243006432
positive,0.4331084129821485,0.4314821183910665,0.41137091067968246,0.5235521869827955
computer,0.48476863987534524,0.40582964006085104,0.4681543182444837,0.5424396145159164
maker,0.4982345269133112,0.4419666984785687,0.39559446180159924,0.5716195849614367
dell,0.4601352244133739,0.43845025208796495,0.4217553123214291,0.5295091582750023
assets,0.5516538982480322,0.4993690032000049,0.4635724675135898,0.5045249367531041
retail,0.5424156166464331,0.505649085136071,0.44101979266179725,0.5629894502012512
money,0.5035983979421697,0.42020957172770373,0.418450075049367,0.5287436588682388
mutual,0.4601165983434558,0.4244309344062312,0.34112325805487737,0.44154786682690045
funds,0.4684199343882378,0.4276437825819399,0.3883541149920437,0.559458378134295
fell,0.43274701606034693,0.4026257079340927,0.3495574890521942,0.42428416332983676
billion,0.4609647875155289,0.3297230926683568,0.35184918804771326,0.48089109820371667
latest,0.4874550903074444,0.4633468869614296,0.3734114095255922,0.5220737440344779
company,0.4700401676755767,0.4149469575588681,0.37007570099498005,0.5007144836392243
institute,0.48307266470932475,0.468065752694989,0.377373204644603,0.5200535046592917
sales,0.5231927038170404,0.4575475258749793,0.45013435782633465,0.5650549240802172
bounced,0.4110583888462139,0.4301255223331957,0.37591773488700425,0.49580777884193045
back,0.4740482336365485,0.3931899512588088,0.4041356408698837,0.514603460109088
bit,0.4186865755837673,0.4135171765031702,0.38472161102522145,0.4300022111988918
claims,0.4912699118430929,0.49416420435559577,0.412376136405238,0.5073297629063402
jobless,0.3852997989170914,0.3878013825234654,0.34985366804892315,0.4454414462396661
benefits,0.5307853575298682,0.4335154615127538,0.4129344031420293,0.480064368327204
last,0.486047452848782,0.41876844818599435,0.4063707610791025,0.5650707741090574
government,0.5234827283296949,0.4858433516301606,0.31521921354746674,0.5963341196033761
indicating,0.47842759082993835,0.4579020602394355,0.3410182090716823,0.41249643010992776
improving,0.4511226482999916,0.4197753258829112,0.3777640832438314,0.4787951377361556
earning,0.4958456751435791,0.480375733470928,0.3836971498405503,0.4771033166388627
danny,0.4991005170994112,0.49384549819147294,0.3697036726714563,0.4689721930513652
riley,0.40385067671786545,0.46052973910611056,0.38262288057790345,0.43191855622464853
started,0.4649066606936218,0.4720205509731103,0.3782576791113726,0.4800385996976828
work,0.4999964794551061,0.4817153021879812,0.408219305531876,0.5112137331508193
general,0.4947719093759571,0.40321702619602806,0.43546402567311915,0.49655144393181777
manager,0.49469317323672757,0.39740386510869635,0.4128634579898956,0.4953651853286736
commercial,0.4962811545726275,0.5094577124878813,0.4379431960291629,0.5589892774599264
real,0.47249338491572584,0.4218171891021708,0.4538978494481391,0.469104715033922
estate,0.5362224549826068,0.4716454368808157,0.38372896957011593,0.45890766563374946
annual,0.3902178989172622,0.3762967327686668,0.33691129425292077,0.414199983845807
base,0.5123402068918079,0.4566355174224198,0.38265094494516544,0.5170836203747848
salary,0.5061213530094661,0.45328670745971156,0.38691957025689677,0.4444888422449769
soon,0.4229538855560783,0.350411766229843,0.35894175504185055,0.4532909827227466
financial,0.5844447146589205,0.5142868809056946,0.452918101557294,0.6336859329155909
planner,0.3957223146003384,0.3928131501336364,0.3579020103436768,0.43093749424241
stopped,0.4846139708435893,0.4469032242310052,0.4177697551652072,0.5186588867130207
desk,0.5030459924582448,0.5003414532799295,0.4305369259232093,0.5259218136356237
drop,0.482372278734131,0.3709018960874553,0.4214283111642992,0.4695413716785794
insurance,0.5562824366578711,0.49143867185308177,0.5135035888233195,0.5559116405796782
available,0.44942308889766924,0.42986678888587737,0.3718965072813236,0.4757472503590968
furthest,0.2977314783983751,0.331562769206899,0.2843425032753274,0.3911892783074453
thing,0.5075128573120199,0.46000245525930716,0.39335849578904664,0.48571424022660414
says,0.4581586310321851,0.42574718395062466,0.36893639053107585,0.522481357997744
opec,0.3515498774578252,0.3190270393087913,0.27833880432697994,0.3758064644912459
nothing,0.4919193471079472,0.44813003979098853,0.44126990524574816,0.550869887392307
douse,0.35703619383804963,0.33793099048898,0.3394774898137019,0.3963990081438252
scorching,0.3227057725661859,0.2915536770404689,0.24929845081184118,0.27716336477763487
markets,0.5244220929648672,0.4588999278490768,0.38803011107627666,0.43159061700141477
already,0.4354750458115304,0.3817611014210667,0.3475061956991197,0.45059343675100805
million,0.5170027057513236,0.4156710543767278,0.37398861206035944,0.5492333277579458
barrels,0.5413059915150412,0.43126808774899517,0.371381368441682,0.5288046541750004
per,0.41791486025024316,0.41304303882618837,0.38386764237831156,0.4566955860457373
day,0.47726318795371464,0.41450963646863265,0.3886578284140825,0.4975925369572002
governor,0.4879674725622538,0.45861490477126476,0.42176865995416907,0.4684789153550035
warning,0.5100244471643697,0.43994511846508844,0.42376394852171645,0.5580879281344123
fall,0.4778670870178702,0.47021229278705207,0.43668631522218354,0.4954191123442866
exporters,0.24303340735457596,0.2676480446285798,0.314153792260357,0.4162080605489553
consider,0.46547368436626196,0.3657456086681174,0.40364598519949185,0.4580396067362689
increasing,0.4835980033765182,0.44874140570630555,0.4210133729751821,0.5135586310837601
output,0.4685535993942799,0.4310299690642577,0.4529361327715246,0.4961393475665752
cool,0.4616377961048643,0.4567286604731224,0.4514797200223809,0.49475016590314214
record,0.4195413714033775,0.3562351496572561,0.42617922854690754,0.4308055936407667
president,0.517661268073491,0.41765075679889574,0.42493257537817186,0.47172322952962453
purnomo,0.36611553397396057,0.38164016637107195,0.2526802880158411,0.3944827672898666
yusgiantoro,0.37711079688089344,0.3699580688030397,0.2743621159656283,0.4165722969271565
auction,0.4395901833948671,0.3886270706439581,0.397507424453583,0.46661866587790024
google,0.45759416596000047,0.4407529497857176,0.4612423210247494,0.4606687933770552
highly,0.4310328535857446,0.3933234224193211,0.32162003601644906,0.447964107907078
anticipated,0.4981762144421479,0.47220738067586004,0.3807222504772201,0.47245598117482773
initial,0.5009182503313454,0.45746928842279966,0.3975541251326071,0.5072281641778741
public,0.5148423851613081,0.4476856254356905,0.41262606903685045,0.5086718330527944
offering,0.5612528003640276,0.4757097414863321,0.4068306550611695,0.56332946322243
got,0.49275422031971894,0.4366958322001761,0.3842793949291234,0.5232755733441125
rocky,0.4623078433585881,0.43920930161519145,0.3937324439891994,0.46264233632036933
start,0.43680026616302786,0.3780635030107893,0.4044703792002659,0.4424367918173868
web,0.48864299949145257,0.4265391730448379,0.4178844919182808,0.532476713959918
search,0.5038341507474376,0.4074450134734248,0.39744077110039444,0.5452049314984226
sidestepped,0.3703183584944069,0.37137766073918116,0.3458908370436462,0.41282716407600256
bullet,0.3890915099998866,0.46097633014535777,0.3957318277805679,0.44528526206189095
securities,0.5776057147113262,0.4522492221448392,0.4876078938606108,0.5797321939529052
dollar,0.44692693183489246,0.41030889208859106,0.37251873610642844,0.49610134793401944
tumbled,0.5500438591881124,0.5154328469194452,0.4139095924597304,0.5193044434099499
broadly,0.48270349224397874,0.4873777496550105,0.38544242423949043,0.4305267983895254
data,0.5775344563321957,0.4569101748206114,0.4361135706839451,0.5824829742447198
showing,0.48883662408815204,0.447009235151812,0.351826124307636,0.45866106965171505
trade,0.5251129234416296,0.48969813122028233,0.4437830856761458,0.6296475188964025
deficit,0.476997749944426,0.4035670243951546,0.334687474371219,0.5535802125948857
june,0.44838574761778377,0.46915525015439513,0.38491925860984944,0.46381762237101265
cast,0.4608544451041345,0.42739011968965274,0.4158860872816099,0.4731488551177885
fresh,0.46225108670830634,0.4591937724744839,0.4116519258657102,0.5359527186589585
doubts,0.5052158611747724,0.4461239763289853,0.38381836744626396,0.5369797550638454
recovery,0.5015308897191754,0.5038553105212429,0.37388544974454846,0.5128607269341531
ability,0.41967116869658205,0.4034829011728525,0.3995083750095568,0.5384126249598753
draw,0.4284888896770249,0.3707583609692647,0.39932240501364824,0.48545754674339664
foreign,0.5364505675627963,0.43889570943838857,0.4298084297282797,0.6157123075558317
capital,0.4967697378698471,0.47619918678696743,0.4025273326198381,0.5263483772863989
fund,0.5089758687316941,0.3998791847203304,0.3551839856371552,0.5396778934447315
growing,0.5079106740563541,0.44719574572059606,0.4155612148653245,0.525331200144633
,0.11783606629609883,0.08550107306557876,0.1308432530967637,0.22147927859679603
season,0.4352284724426719,0.38780519127790686,0.3638486073545424,0.5131489543238152
become,0.4148233361676902,0.38370178735731597,0.3377418005486385,0.49998904818691436
huge,0.4937886088084534,0.4796561977884615,0.39379717325729907,0.4797339141520852
marketing,0.5684305567202929,0.5117125841187149,0.44148384471782676,0.5561763050934846
focused,0.4980780520903743,0.46609614096116364,0.3827062651355948,0.477607538918739
reason,0.5093472858181786,0.46220338152453033,0.3844070120682318,0.5065676403684459
feel,0.424056189549703,0.4015323746998967,0.38807451649564384,0.473537309995164
smug,0.45166668390451103,0.4159286234670961,0.4060633018960533,0.46853829425281046
lost,0.4556823422936939,0.40896318108214796,0.4416697055826811,0.48495156930440053
less,0.5059160927636301,0.4221162802313275,0.4328828448581942,0.5372527872581334
folks,0.45747956504557485,0.48373750523875186,0.4001803417126333,0.45227727735877704
stuck,0.43795391922526083,0.4032989732320801,0.36389913960517406,0.47098953326517434
exploded,0.46249053717894867,0.43360031013852834,0.4248386953222106,0.4621292530459071
costs,0.5434203028472548,0.4245930620625572,0.35232375662566245,0.5570665674802937
drove,0.4520288348958437,0.4534715276832026,0.38035309275687806,0.4523705628614884
imports,0.45694948101734373,0.44317359654334865,0.414196081149233,0.42601685284824603
according,0.4541602717789907,0.36869879382035575,0.4058987140952396,0.518986713477005
giant,0.46651908101729456,0.414923670686326,0.38619784285542663,0.5017746503545715
shell,0.4530620718976862,0.44774791234570926,0.37799737806878736,0.48628904531616435
bracing,0.46392354177323103,0.4827316377618882,0.3438221703771508,0.4540395626415348
takeover,0.5229810835073431,0.4376395660548436,0.41399399272705845,0.516853312817344
possibly,0.4349884245237588,0.4487584385967112,0.37448235720712414,0.4398523188072498
french,0.4570202612937853,0.3968009481695583,0.41496976713073824,0.5372790688722772
