_vocab,finance,medicine,sports,technology
wall,0.4708388461711282,0.4377291574210871,0.3483327099310189,0.4370884927697455
dwindling,0.3036602421618277,0.3269506195851953,0.2301105106772707,0.23426585426345578
band,0.42915426054762923,0.3918627266802356,0.4586393920520183,0.38685703823417417
seeing,0.3111607616286079,0.4649973950707341,0.31198490101393495,0.47231375511537504
green,0.3887412692953535,0.3752852441575003,0.433545486690011,0.3742928373269685
private,0.543271016673699,0.4755417171029721,0.36540132670193626,0.46997573815586674
investment,0.6844029341418236,0.4856340521750841,0.37184370098412567,0.5346292416203444
firm,0.5418988680031889,0.41798836445038323,0.2580118464699986,0.5027918561773684
carlyle,0.1444717081640442,0.18212843604975756,0.09422380764467654,0.16694566627554652
reputation,0.4317590025677399,0.39922374811026046,0.3648229134131376,0.42936039510525364
making,0.42260929849574924,0.3543734544882047,0.3757292197094476,0.48112910240900747
occasionally,0.26214115950350186,0.36169968348660486,0.3187473624586274,0.4569545440856016
controversial,0.4784333472552284,0.47043678779664183,0.33009823980563363,0.38477005902502626
plays,0.3463397339362864,0.36779883159837684,0.4245682055324719,0.40144463143054604
defense,0.5657154996955459,0.4327419326070384,0.383658571437758,0.4893337941319491
quietly,0.3481825824401353,0.36158530172378134,0.3058379102837634,0.4599083815093802
placed,0.3845794673917965,0.38877482677254005,0.2839525218468014,0.3888962814548188
bets,0.5120423405068586,0.3805966217269274,0.34131815826754364,0.3943936469600105
another,0.4043721156556068,0.3262041041270252,0.35306567676150624,0.353290619311635
part,0.43197946966166756,0.34707349789046443,0.34030417771174304,0.3912517999639339
soaring,0.47359066080474754,0.3716942188756414,0.3764388233663929,0.44685912096439434
crude,0.4918587021597484,0.42291879145740924,0.3404739234645099,0.4782095129674016
prices,0.5186227955630452,0.3916743173395467,0.3165138026359873,0.49167814197488413
plus,0.434755268483959,0.3043665922974017,0.32491024898136467,0.41391814179707104
worries,0.45675962707591405,0.3313135972190685,0.3034221320388904,0.4448262826791199
economy,0.6492657204586499,0.4610137658616461,0.372647330140531,0.5163883349484383
outlook,0.4823264972936228,0.40695737671478294,0.28645848898738663,0.5127953880252417
earnings,0.5935508334817448,0.45194355722822893,0.33292222357275514,0.5285717173797855
expected,0.4456371510331183,0.3715616352154467,0.29365845238278254,0.3962234414653825
hang,0.3492445630617418,0.3496336869614438,0.33205947484843923,0.39221400895075176
stock,0.5318801337466497,0.42271308912760935,0.32479136103171263,0.43161920640515156
market,0.48797496617353986,0.4531840777098957,0.29108296312207743,0.5367612878518597
next,0.4384149569179,0.2516389280848703,0.33686215012380566,0.48841030640394745
week,0.42181407252684294,0.3087155745760397,0.33362686829009425,0.36373098099500034
depth,0.4709271995370337,0.3287964569241027,0.3980003589297226,0.4654578965989642
summer,0.40335029300782366,0.39280742802324164,0.4687046224027879,0.3497856069210479
authorities,0.5495274963018635,0.5266490514972506,0.41884868891201144,0.39514700767193967
halted,0.37477004867797015,0.40538508669507367,0.3292670622856865,0.37893553631832333
oil,0.5759641027072988,0.4044121901585121,0.37025433675783326,0.4979511995138601
export,0.575520956327505,0.4344760063889099,0.373674544249578,0.4473708019487271
flows,0.5234551554181505,0.4461610937960225,0.27074416681975744,0.4649985372567883
main,0.4376572070675277,0.38595108680882967,0.3285946531892393,0.40573996758745967
pipeline,0.5040019151421484,0.4234515630045582,0.32394963424381434,0.49225785793545446
southern,0.4283762458400965,0.4705502139996927,0.34639716160983963,0.34802637604005643
iraq,0.5430069455845676,0.43354000472679943,0.32623093375589196,0.3261620310249257
