_vocab,finance,medicine,sports,technology
wall,0.5066613803376621,0.5020027918573984,0.4163132626693393,0.515675925505878
dwindling,0.3093945296853649,0.3738062894556508,0.29065592048885636,0.3586700008648961
band,0.510483304929501,0.5431536271603963,0.5202670980648156,0.5299347822321978
seeing,0.474546764670832,0.4995460891500618,0.37996827004558437,0.5226021159853068
green,0.42523206412192754,0.48763503456689006,0.4749121812042973,0.5470332025507475
private,0.5306058395453899,0.5553812209611745,0.44766857561832407,0.526880538186168
investment,0.6061827761370376,0.5453992139054467,0.4470709601180659,0.5274744847139019
firm,0.5145589857249305,0.49148255658197504,0.4086651117991246,0.5085265530691027
carlyle,0.1162030998112828,0.17876381470732425,0.08389684736589069,0.15964208259056722
reputation,0.4878293558074362,0.5419408971335198,0.41452617299855693,0.5323914123548531
making,0.4777780851130534,0.49438031182897174,0.3937728615399389,0.4839417615899764
occasionally,0.521872968012351,0.5406081039842776,0.4278957775331193,0.5111656844953009
controversial,0.5296845865719693,0.5364895067883623,0.4165658321904422,0.4735385528083735
plays,0.4327703021851523,0.48177599063366466,0.4319486296753503,0.4763999007775873
defense,0.5531779438006135,0.5687287446291471,0.4535577315918947,0.5595899255275582
quietly,0.4612530225660402,0.4950985769442913,0.4101286050791846,0.5323386095685375
placed,0.4644042128062527,0.46488254527952666,0.3643868201632214,0.45264183794150076
bets,0.5249170253835276,0.5243063756439746,0.3850715802490944,0.4803922769005968
another,0.4775576894093504,0.48467661922507677,0.38272098279388134,0.5058761213968813
part,0.3822189613737562,0.41283986386184346,0.3804944894109233,0.5241992188725906
soaring,0.5680021606324621,0.5658758772298025,0.42674596778678886,0.512111889203148
crude,0.5032593312930406,0.5503393935655579,0.39409837134895503,0.5090533207910786
prices,0.48456778190184235,0.5411190896621789,0.373185800622428,0.5142353603972066
plus,0.4772494625527885,0.47976047639601094,0.3926141649697693,0.5175365091512301
worries,0.4758498601941686,0.49858591305671524,0.39237516217572244,0.48612141978801493
economy,0.5407373981362409,0.5991402389071967,0.4884689907516324,0.5261641916805461
outlook,0.47322511076169205,0.51509858416091,0.41509614871683115,0.5222908128074086
earnings,0.5052756072101241,0.5334748167741798,0.434469642089802,0.49307201844644816
expected,0.45935428771152853,0.5049356103674206,0.38304352504341377,0.4403100799246731
hang,0.44367347856148753,0.44566300010551096,0.4466288481318455,0.43582296917203117
stock,0.4849793660973317,0.47420934479245713,0.36881689454589267,0.5023881794611063
market,0.521672059493986,0.5352051974378812,0.40079114210559097,0.5247987472509208
next,0.46603868606871407,0.4272293311170183,0.3836611930929177,0.5177249411349247
week,0.39976691203248216,0.4554303588477486,0.36310015319308353,0.4197261340604797
depth,0.5057058035352575,0.5624899108483666,0.41921158053360436,0.5102337101104043
summer,0.485936993596931,0.5189956742371739,0.4480320229829266,0.4738076003771997
authorities,0.5724471338691516,0.5808883575405973,0.508229419669065,0.518704022397416
