_vocab,finance,medicine,sports,technology
wall,0.4755768051270319,0.43611752802038894,0.38223136339341646,0.5389130929055715
dwindling,0.2265985708128812,0.2619334989846427,0.2197290224369671,0.24593797341640816
band,0.5101023516579362,0.4945443025873974,0.5039588000223302,0.5694056086947936
seeing,0.35030520096333506,0.3899173117126396,0.3113504930551763,0.39172762645359316
green,0.3784845392808897,0.42307840076025977,0.3769573271721266,0.3945576832561385
private,0.466173973129398,0.3956288114676312,0.40642823844511783,0.4049347987082836
investment,0.6189513690706966,0.4792327608088675,0.4539050276073863,0.555851053832696
firm,0.45369132740420476,0.37728462047081246,0.39994716998612084,0.5556912624155742
carlyle,0.11160950642955526,0.15186774641056264,0.09171522885979483,0.1549465959112674
reputation,0.4754459704420422,0.43127792433802703,0.35580846218854767,0.5088472776330982
making,0.45515195555841925,0.39440273869376746,0.4226494923071061,0.5469787340532052
occasionally,0.3275830998792154,0.33154088849516017,0.3371083961172294,0.3985922067661206
controversial,0.42348855741011776,0.40272543923020826,0.35034611132115934,0.4738279763002424
plays,0.39449972020948304,0.3712327804472116,0.43761667783632696,0.3684131499889207
defense,0.4772380075961562,0.44377301853586765,0.38750906129939133,0.43689036265398123
quietly,0.3641924980659005,0.3409120028130637,0.3490635909552947,0.4275145829993733
placed,0.42470305869947544,0.3127882224941916,0.30009828504535047,0.4100131646900915
bets,0.4740437858258581,0.38928392146883634,0.39271002423551227,0.36757640503936506
another,0.28279697921632,0.3657219402414872,0.30759679545435303,0.3042324018540265
part,0.3446829526889812,0.3466277852372129,0.40364262201415385,0.42574935148022136
soaring,0.49169354673529264,0.43881357843237584,0.376912478388708,0.4335005032407062
crude,0.4758346350498014,0.38583289746524707,0.33668164334606776,0.4778725591318627
prices,0.5008176042018746,0.4532271177242414,0.40589583663334217,0.5165848489648628
plus,0.381316922778097,0.3461303218865705,0.41911464008603283,0.3837911664225464
worries,0.4015856533679821,0.33140092127994886,0.3678306996468566,0.3258091753122178
economy,0.5560595855890523,0.4898738779314032,0.464963898037398,0.5084722871802222
outlook,0.4906943951528249,0.4008069120681192,0.3793346855182119,0.4667692766669437
earnings,0.5294925136385426,0.41479362734793007,0.4317069846992724,0.4670561361153801
expected,0.40709770481854257,0.35131912673046073,0.29764563691229895,0.42746369167855947
hang,0.39663962733922414,0.3710162780608184,0.36369815782891973,0.38648751290122063
stock,0.5019575109182811,0.4040904446611549,0.3775905006974532,0.48514582104129533
market,0.5345539810619676,0.5090925859743158,0.4306183868751782,0.6135780878902267
next,0.4044784240793236,0.32860933998612507,0.3764561912504762,0.40410310798379184
