_vocab,finance,medicine,sports,technology
wall,0.49990526275132213,0.4242880488271486,0.2450834252364936,0.2888621717318798
dwindling,0.3085645721763358,0.3706192517364125,0.28779804562045624,0.21357101543628576
band,0.41498015354915807,0.28352498007484955,0.41532409945770027,0.2938673866785066
seeing,0.25569323901178304,0.48261226005530156,0.26474956272549166,0.4734736255301292
green,0.2739319688401603,0.3451946914543244,0.4219077183937493,0.34195592616354303
private,0.4388717558162273,0.4856965306388152,0.2999315510847679,0.43225114586073776
investment,0.6354785575610137,0.46735191030630147,0.3090037636770314,0.41761792469560155
firm,0.5915646604103241,0.41299509349836633,0.1691189664568364,0.39906067431392384
carlyle,0.207861864913912,0.2553843326702913,0.12817859206592436,0.20708084083438605
reputation,0.4421691981021051,0.3868005695802816,0.3145768398368584,0.3165314512836322
making,0.48289593055660984,0.3030531530196217,0.37380170118902245,0.4501971042029911
occasionally,0.1671943463879362,0.30356160388199416,0.29034846574790685,0.41012386233345394
controversial,0.3795907291958554,0.4340679803959906,0.3019010027356613,0.33405942954016743
plays,0.2509564394528327,0.3923242587030133,0.45977846882331996,0.431281651840857
defense,0.5064398130673979,0.3774006107524967,0.3189682155853803,0.47381476048319
quietly,0.37326535355952095,0.31059666612697023,0.26091874535718057,0.35659185023190815
placed,0.30761101830821674,0.40123997630516745,0.2986597319170402,0.38836245407328157
bets,0.5294429990684676,0.3424973250564638,0.32680203788675255,0.23663382466769467
another,0.3984700833666405,0.2585945955831131,0.34971698818599695,0.22355324636937454
part,0.5290709476494845,0.308044855191382,0.3226989446690363,0.29081322483962385
soaring,0.4807517098937997,0.3076993528746374,0.33291455772294376,0.36904452775186253
crude,0.4596127277659399,0.35343451033162354,0.3701617683321455,0.43035517855969396
prices,0.4895325301235066,0.32670865480742595,0.32259853783694264,0.40454161497260543
plus,0.4171093520054949,0.30778300889409416,0.24512322015149018,0.3807025714333355
worries,0.39158187893068996,0.32838519391194126,0.3141985695891117,0.38785175909693076
economy,0.514384552548408,0.409010603409053,0.3164024653358229,0.43333169155460677
outlook,0.48575598195338066,0.3899455774558007,0.20364802573696925,0.4419583649304428
earnings,0.6504743959907632,0.43039493188616457,0.21613541444804363,0.4978285058055378
expected,0.436269122508568,0.3642111125430402,0.2966594529105465,0.31043329035766964
hang,0.3308918278045568,0.315097403050249,0.23555663553013617,0.3601666793905223
stock,0.5832178075691701,0.3843760748864378,0.28369917997744215,0.2981970919626186
market,0.5088897253733163,0.4028675682005696,0.19470815880978612,0.39808603506156504
next,0.4095210278864791,0.19812505777004108,0.3230599144678424,0.46754322015466937
week,0.4199980027889224,0.20940029030160642,0.2997164526711117,0.3021777388128984
depth,0.49151093975471855,0.23437825058184605,0.41411380018024235,0.43470382736118685
