_vocab,finance,medicine,sports,technology
wall,0.4626102639482309,0.42163538962846425,0.38985221545522547,0.548112214534017
dwindling,0.21810337766631094,0.25112972427927344,0.22212456139856515,0.22105089243491619
band,0.5086881952238996,0.4696876536330586,0.5156816625524058,0.5700898249335765
seeing,0.3149616796740354,0.36107007698740423,0.31249549449522024,0.3489057761075973
green,0.34821336672046616,0.4085466140418198,0.3445133008799083,0.3459673231273441
private,0.4325841022006008,0.3490597191333874,0.4093569682445668,0.36123033340662686
investment,0.5897761516185452,0.4465389759486176,0.47485238428464654,0.5083777780162115
firm,0.4295150757353343,0.3397177146536589,0.4311454021676704,0.564551279079006
carlyle,0.14413479534298348,0.1718920557294776,0.14951397061008367,0.1976766841435873
reputation,0.4622022427840395,0.4032046140478648,0.36310295557439237,0.4914751747120737
making,0.44312077530634725,0.36298276586624356,0.4804949917583841,0.5358070262263285
occasionally,0.2770704009331895,0.28339421577231055,0.32931534600258144,0.35881183428095104
controversial,0.38556241283909426,0.35801713524834056,0.3475573050139513,0.4531470987297849
plays,0.38208463793943065,0.34581952697294405,0.48344871634161796,0.3450499524137799
defense,0.42984214722598635,0.4064414092649364,0.37177294796320987,0.3854865106417962
quietly,0.3356914965020358,0.30421137189459535,0.35375047987732583,0.38532503003283786
placed,0.41436513802585173,0.2799103341514177,0.2998745890151881,0.3963825062454914
bets,0.4521960613951302,0.35724824528408355,0.45229993208403574,0.33373740598832474
another,0.24016609278100387,0.33315889452590935,0.2988634407264216,0.25686163476196006
part,0.33668611672033344,0.33898042135987483,0.4417187737793505,0.3856623677432735
soaring,0.4681242127483511,0.40015025076309896,0.38664927847274927,0.4002944748302988
crude,0.45175716245833614,0.33959555902127464,0.3312824139480578,0.4427010908870793
prices,0.47086567161558707,0.42009686418039416,0.4491789012366883,0.5050645782138531
plus,0.3552494914489326,0.3142789076405842,0.5001438693665154,0.34274270862417383
worries,0.378627315673379,0.2926980594408054,0.3957554619825558,0.2827947773017618
economy,0.5038001559169575,0.42862923854878177,0.44935265174406436,0.45586939754322725
outlook,0.4708649788233799,0.3694196034610833,0.3847640529168792,0.43768827061196003
earnings,0.5042038286521306,0.3797365318752421,0.45358373576353694,0.43839120160403805
expected,0.3815606265091294,0.31056908313922826,0.2890970445791254,0.4019245027621149
hang,0.3917838150230658,0.3637512398169423,0.359308232342641,0.3689982063732872
stock,0.49998519449846723,0.38411944959369904,0.41587953590503957,0.4768078970669675
market,0.5184892049771692,0.48445838954655235,0.46709481763067406,0.6215269616556025
next,0.3830046782019667,0.30399314663449173,0.3896602580675088,0.3619168974169997
week,0.40222436958281443,0.3755321742110741,0.3367514838590785,0.46975662010834657
depth,0.534809040536044,0.5009320178113994,0.3985342983832583,0.5524294217390603
summer,0.4905908765695034,0.37019632905298017,0.47220738351016234,0.38529760305260535
authorities,0.35219598354536513,0.34510689184519533,0.349393791924148,0.3040379887202756
halted,0.3943265118534434,0.2821414991029965,0.3561464351968411,0.45856026405427536
oil,0.510426258841621,0.5194052031640927,0.41782241039834206,0.4848805816771897
export,0.4752856557471349,0.36655892555420366,0.527588966281703,0.4931402544106334
flows,0.5104357106162187,0.3769361624081345,0.45380902866117073,0.41909846186886063
main,0.4850499098090435,0.3642991144613127,0.5290110876079135,0.459845184349726
pipeline,0.535629904479998,0.3820819905559032,0.3670818282988866,0.6245492189379879
southern,0.4388900248540383,0.3708245166013311,0.3711867422621599,0.4207644604646935
iraq,0.4178733813051835,0.43241379207511244,0.35118154174714705,0.4674403389330728
intelligence,0.5865869172074469,0.48368613495768875,0.49218070836327804,0.5635651840514616
showed,0.3569853916020804,0.3973431549125048,0.39501154875912053,0.4646400879497082
rebel,0.40209278820497757,0.34515598393989194,0.32681203967776684,0.33800298671073503
militia,0.45211485680181357,0.4177532648642872,0.45114727667407395,0.4814927847987339
could,0.2611003589717893,0.29132950672752594,0.3277902863858295,0.329177932792145
strike,0.37208846116883276,0.3397003681866307,0.34910291584633446,0.42621476577008643
official,0.30532054048353896,0.3542883320761323,0.3022631312096246,0.34236242412336815
said,0.3296648807418075,0.3423224007668481,0.35219811475911295,0.3381971817448052
world,0.4234710246575301,0.38750460235914835,0.4488913185894359,0.44103759606108167
toppling,0.2286504380022267,0.14604724881877193,0.18442606153558566,0.17796386018610638
records,0.4662917581870818,0.38829569132930436,0.49897182107499854,0.4483642622214382
straining,0.4967447039219382,0.38852612247095175,0.5067188964547484,0.5603128193927538
present,0.392800067591886,0.27217172251398736,0.42421932959238867,0.44715775247474365
new,0.3661642202913562,0.34277243271705593,0.4267463676235406,0.3957899694695312
economic,0.5688799526303666,0.4356150232493675,0.4770312073615212,0.48047433693549324
menace,0.5757522605595451,0.43535480785088626,0.4409086084469809,0.5825962124481676
barely,0.28920925947517184,0.27688139764204184,0.245762165323483,0.23701740346932565
three,0.28053752450162056,0.24714814419437414,0.2182735521189481,0.27384244570881816
months,0.2303326249644468,0.2537315706194366,0.32902932380587324,0.20151985452573729
us,0.36475157819813814,0.34741720676286064,0.40813262545201096,0.38297663000803533
presidential,0.38422501640292056,0.33120919550444716,0.36549696286735156,0.3111579768242103
stocks,0.533509436278594,0.38522719745806355,0.4488161235208169,0.40096431403242344
ended,0.2921775327131715,0.3046028452598451,0.3179831186764107,0.2959014334492102
slightly,0.3648409007334173,0.3956050158347938,0.32669475954131527,0.3458374941699807
higher,0.41652923183192264,0.35398999292752514,0.41156514834714436,0.4002217938740166
friday,0.39938991707169014,0.3941499981310111,0.4134277431993331,0.4760393032085911
stayed,0.30381416036066294,0.2887144936031447,0.3881348481198543,0.3462821786141036
near,0.4120055228261199,0.3208777468541047,0.3855762378410225,0.4988187160214541
lows,0.2836628594527355,0.20985482594034002,0.2244333370045982,0.21358475610310565
year,0.35870005946503314,0.37897394359872627,0.4092508952656884,0.4281973212589542
surged,0.40776462529796975,0.37570877658259266,0.38429711089378255,0.43268952250471626
past,0.417177789428346,0.3388630169831602,0.44606953778485875,0.373072099524648
offsetting,0.3597961937457274,0.26539467509395276,0.31796274460986856,0.33110862756231335
positive,0.320668081864581,0.2988886605447669,0.4041200302140948,0.3663103919164844
computer,0.5063556722554521,0.44022482581428884,0.47226802316696576,0.5855460376125486
maker,0.425747078641674,0.40198738756168145,0.48028213738806474,0.6334709587126793
dell,0.37009726374039353,0.3967041119845293,0.37345406030513173,0.4052120308470719
assets,0.4901645486902348,0.3783943911393765,0.4878485370941005,0.4916224431648731
retail,0.5562228372980109,0.4039215837944738,0.5041820899808428,0.5751839912166178
money,0.5931404635805229,0.5452828550563249,0.4987937276333742,0.5195511607882535
mutual,0.34085187003982226,0.3246113285250358,0.4463151375593622,0.43126381281733056
funds,0.4644542790940434,0.3521752774572667,0.3842581940327329,0.2838427267429519
fell,0.4167370920839491,0.36091697283332425,0.45669662663980465,0.40496018350500107
billion,0.3724152135987195,0.23871305790226058,0.2999360372333036,0.39737780515530147
latest,0.3974165841688114,0.2853091957411357,0.34856374876181573,0.42414054801583045
company,0.44839762068645755,0.4090520319122051,0.44852355786745535,0.6597438988362516
institute,0.39910010539548185,0.42764188644446494,0.43219953097680075,0.5474018897937268
sales,0.48697786493621664,0.3940735490572846,0.45233781627182307,0.493455003821244
bounced,0.3940555547693672,0.34042395461715463,0.3816567472175883,0.4357803660269071
back,0.4014424857954115,0.3336142369294808,0.33836633977340763,0.4078136950697297
bit,0.4412829502028154,0.41954081698576,0.43497238701409885,0.5366616890094386
claims,0.37282184684163827,0.27756760755994575,0.4020458278083025,0.42035276969548796
jobless,0.27157398950450745,0.27621187167200484,0.3342335318379018,0.37737713368936665
benefits,0.48028808471896356,0.36894219607945017,0.511929947203655,0.41034612072107873
last,0.26510798392070845,0.21705393851831825,0.33445611444524326,0.3019744358962231
