_vocab,finance,medicine,sports,technology
dub,0.5880721807479858,0.7234833836555481,0.47184887528419495,0.5864992141723633
melodeo,0.34814223647117615,0.4509439766407013,0.265965074300766,0.3939777612686157
publicityshy,0.4498380124568939,0.419628381729126,0.3120242953300476,0.37834152579307556
cohort,0.561700165271759,0.6174037456512451,0.48524150252342224,0.5372361540794373
deter,0.6060777306556702,0.7613081932067871,0.49418869614601135,0.7064619660377502
sinai,0.5660125613212585,0.7422241568565369,0.5536156892776489,0.6416060328483582
planemaking,0.497072696685791,0.5390259623527527,0.3448064923286438,0.5353876352310181
dislocation,0.31727319955825806,0.3684253394603729,0.21980500221252441,0.3302816152572632
westside,0.3905355930328369,0.3586656153202057,0.2553252577781677,0.34018486738204956
sullen,0.40101176500320435,0.3863770365715027,0.24129632115364075,0.32607921957969666
anisopliae,0.27058538794517517,0.3657287061214447,0.24307036399841309,0.3304837942123413
healing,0.634181559085846,0.822394847869873,0.5494938492774963,0.7042208313941956
auditorgeneral,0.5396659970283508,0.4838588237762451,0.33378103375434875,0.4506908059120178
innovator,0.34407293796539307,0.3464156687259674,0.2546551525592804,0.33644571900367737
ht,0.4686083197593689,0.5713014006614685,0.3394147753715515,0.49827659130096436
vinatieri,0.4064272344112396,0.3832232356071472,0.2670474350452423,0.37480562925338745
shutter,0.5920080542564392,0.7351799011230469,0.5457695126533508,0.6833853721618652
card,0.6304560899734497,0.7885137796401978,0.5573840737342834,0.6868031024932861
birthday,0.5656948685646057,0.7444907426834106,0.5004702806472778,0.609372615814209
abated,0.3282586336135864,0.41105034947395325,0.3333413898944855,0.3836762607097626
definite,0.6773533225059509,0.7425441741943359,0.6048030257225037,0.6263725757598877
renewal,0.6377440690994263,0.7658722996711731,0.5627366304397583,0.6786407828330994
sated,0.416242390871048,0.4487535059452057,0.32297807931900024,0.39663007855415344
cernan,0.37944427132606506,0.35441991686820984,0.23232410848140717,0.4111380875110626
gallangos,0.34755969047546387,0.39656955003738403,0.2225133776664734,0.3970901668071747
colourcoded,0.3607848286628723,0.3633437156677246,0.2895805835723877,0.36574602127075195
shiprepair,0.38523805141448975,0.3788940906524658,0.30762019753456116,0.3843788802623749
