_vocab,finance,medicine,sports,technology
dub,0.5880720615386963,0.7234833240509033,0.47184890508651733,0.5864994525909424
melodeo,0.5897514820098877,0.7999489903450012,0.4793546199798584,0.6555643677711487
publicityshy,0.6737009286880493,0.6574005484580994,0.4811903238296509,0.5920215249061584
cohort,0.5367996692657471,0.6738952994346619,0.3989436626434326,0.49771106243133545
deter,0.6060776710510254,0.7613080739974976,0.4941886067390442,0.7064618468284607
sinai,0.5660126209259033,0.7422240376472473,0.5536158084869385,0.6416060328483582
planemaking,0.6216962933540344,0.7406115531921387,0.46597298979759216,0.6512622237205505
dislocation,0.6217184066772461,0.757286787033081,0.4768747389316559,0.6230326890945435
westside,0.6354132890701294,0.6653095483779907,0.5126972198486328,0.5815570950508118
sullen,0.46291157603263855,0.4913630783557892,0.3883671760559082,0.40241676568984985
anisopliae,0.5960996747016907,0.768071174621582,0.4401892125606537,0.5973798036575317
healing,0.634181559085846,0.8223949670791626,0.5494938492774963,0.7042207717895508
auditorgeneral,0.6670200228691101,0.6327826380729675,0.4706557095050812,0.5469999313354492
innovator,0.6090536713600159,0.7428342700004578,0.5368450284004211,0.604381799697876
ht,0.4689921438694,0.6125926971435547,0.36629360914230347,0.48685774207115173
vinatieri,0.5791216492652893,0.625575065612793,0.4898296594619751,0.5788507461547852
shutter,0.5920079946517944,0.7351796627044678,0.5457693934440613,0.6833851933479309
card,0.6304560899734497,0.7885138392448425,0.557384192943573,0.6868032217025757
birthday,0.5656948685646057,0.7444908618927002,0.5004703402519226,0.6093727946281433
abated,0.5598328113555908,0.7196770906448364,0.5680963397026062,0.6001880764961243
definite,0.6773533225059509,0.7425440549850464,0.6048029661178589,0.6263723969459534
renewal,0.6377438306808472,0.7658722400665283,0.5627367496490479,0.6786409616470337
sated,0.6403650641441345,0.7385894060134888,0.5610118508338928,0.6142901182174683
cernan,0.596428632736206,0.6731546521186829,0.4234250485897064,0.6499561071395874
gallangos,0.5695580244064331,0.7086365818977356,0.41614681482315063,0.5351981520652771
colourcoded,0.5468486547470093,0.5774157047271729,0.4772358238697052,0.5879515409469604
shiprepair,0.6228542327880859,0.7506678700447083,0.5394965410232544,0.7066958546638489
highflier,0.6185153126716614,0.7862403392791748,0.527169406414032,0.6425411105155945
madeleine,0.5715059041976929,0.6394495964050293,0.4632606506347656,0.6131105422973633
entergykoch,0.6031825542449951,0.7132588624954224,0.5054675936698914,0.5639594197273254
staging,0.590427815914154,0.6828606724739075,0.5343402624130249,0.6585506796836853
nocona,0.5583972334861755,0.709139347076416,0.4384429454803467,0.568254292011261
traipsing,0.5527065396308899,0.6644583344459534,0.4631638824939728,0.6201158761978149
infraction,0.507161557674408,0.6865455508232117,0.4737743139266968,0.5388481020927429
opsware,0.695518970489502,0.6528686881065369,0.5214853286743164,0.5392187237739563
ricke,0.6178179979324341,0.7468482851982117,0.5320062637329102,0.638420045375824
daunte,0.5076413750648499,0.6618406772613525,0.3956042528152466,0.5008189082145691
joann,0.5673429369926453,0.6877930164337158,0.4757625162601471,0.5585175156593323
tcpip,0.5619761347770691,0.6792526245117188,0.4858871400356293,0.586378276348114
kph,0.5421968698501587,0.697065532207489,0.41308972239494324,0.5596871376037598
goad,0.5923458337783813,0.6982668042182922,0.49020442366600037,0.6149823665618896
livelihood,0.6372275352478027,0.7448338866233826,0.5262874364852905,0.701908528804779
daryle,0.5668917298316956,0.6837905049324036,0.4883445203304291,0.5627346634864807
sperling,0.5818451642990112,0.6984311938285828,0.5580502152442932,0.5992124080657959
cigarpuffing,0.6299936771392822,0.6734597682952881,0.5117819905281067,0.6309529542922974
vegetable,0.571778416633606,0.6230888366699219,0.4340794086456299,0.6384739279747009
haith,0.5253737568855286,0.6679607629776001,0.4303669035434723,0.5596707463264465
enlisting,0.5674070119857788,0.6649291515350342,0.5419546961784363,0.5721641778945923
standardized,0.5860527157783508,0.7573829889297485,0.5699320435523987,0.6847365498542786
message,0.5046834945678711,0.6600769758224487,0.45851054787635803,0.6391545534133911
forex,0.6011072993278503,0.6907734870910645,0.4817742705345154,0.5540684461593628
layoff,0.6175481081008911,0.7925438284873962,0.4675767421722412,0.6481236815452576
piggy,0.602010190486908,0.7479689121246338,0.4766930043697357,0.6285094022750854
heatley,0.6100780963897705,0.6969993710517883,0.5218706130981445,0.6107156276702881
shalgham,0.5616866946220398,0.7183772325515747,0.4949479401111603,0.5906862616539001
thet,0.48213422298431396,0.592926561832428,0.444032222032547,0.4906977415084839
currie,0.6038495898246765,0.7106879353523254,0.5078913569450378,0.6025246977806091
forbid,0.514437198638916,0.6380800008773804,0.41855061054229736,0.5321674942970276
future,0.5916765928268433,0.6441019773483276,0.5125119686126709,0.5718467831611633
reining,0.5852048397064209,0.6757975816726685,0.4946145713329315,0.5659373998641968
mohegan,0.5842491388320923,0.7546767592430115,0.4388749599456787,0.5673264861106873
generous,0.6068227291107178,0.6192596554756165,0.40348020195961,0.5207072496414185
