,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
a_level,0.4738257825374603,0.42064905166625977,0.4028497338294983,0.5414655208587646,0.42225125432014465,0.5513260960578918,0.550140917301178,0.4704919755458832,0.551148533821106,0.6053398847579956
aaa,0.4708782732486725,0.45434948801994324,0.2925581634044647,0.3521426022052765,0.5128072500228882,0.6244404911994934,0.6358955502510071,0.4802747666835785,0.628227710723877,0.4927622377872467
aaaand,0.4216389626264572,0.4244095623493195,0.2550009310245514,0.32278298437595365,0.46788703501224516,0.6414825975894928,0.6543793261051178,0.4547628998756409,0.6348938465118409,0.4755896300077438
aaliyah,0.35518647581338886,0.35334198176860804,0.26572189182043077,0.31098835468292235,0.34655745476484295,0.5840215623378753,0.6012555599212646,0.45219549834728234,0.5801527589559555,0.46110702455043795
aaron,0.4271971583366394,0.37033748626708984,0.33896854519844055,0.39312249422073364,0.4079749882221222,0.5551803708076477,0.5576155185699463,0.5006976127624512,0.565718948841095,0.37855011224746704
aback,0.411838561296463,0.44175371527671814,0.28162911534309387,0.4199870526790619,0.4368239939212799,0.617077112197876,0.6104834079742432,0.5598082542419434,0.6162329912185669,0.47358018159866333
abacus,0.3685754179954529,0.3164198875427246,0.2614730939269066,0.30580727458000184,0.38767962455749516,0.6409659564495087,0.6351311802864075,0.4180812031030655,0.6203332483768463,0.4346892148256302
abalone,0.45995723903179164,0.4032227694988251,0.28109941482543943,0.34395829439163206,0.45803136229515073,0.9021927714347839,0.9035831391811371,0.5503258466720581,0.8809907376766204,0.4774778217077255
abandon,0.47287288308143616,0.43299928307533264,0.3626914918422699,0.3796509802341461,0.4403332769870758,0.626689612865448,0.6411005854606628,0.5349192023277283,0.647142231464386,0.4513694643974304
abby,0.4802665114402771,0.46343863010406494,0.2839806377887726,0.3972228467464447,0.5088415145874023,0.6618257761001587,0.6567069292068481,0.5287303924560547,0.6724466681480408,0.466208279132843
abc,0.451532244682312,0.49006927013397217,0.3253955543041229,0.44791752099990845,0.4627646505832672,0.6272608637809753,0.6298853158950806,0.5226697325706482,0.6230384707450867,0.5547555088996887
abd,0.5045822262763977,0.42865827679634094,0.31696903705596924,0.4212498962879181,0.4928230047225952,0.8243842720985413,0.8196186423301697,0.5485702157020569,0.8161762356758118,0.5264577865600586
abe,0.43600937724113464,0.45867952704429626,0.3641795814037323,0.4037116467952728,0.45243263244628906,0.688692033290863,0.7011857628822327,0.5336004495620728,0.694327175617218,0.5529331564903259
abhorrent,0.3221591129899025,0.32796602621674537,0.1975051946938038,0.2774889960885048,0.24554878622293472,0.40921270102262497,0.41835703402757646,0.35261634588241575,0.41044572591781614,0.3909906804561615
abide,0.366377392411232,0.3559085249900818,0.20357272326946257,0.2964802086353302,0.28996935188770295,0.47002075314521785,0.47638483047485347,0.3940293550491333,0.47359563410282135,0.44813061058521275
ability,0.32204538583755493,0.3558599650859833,0.3449062407016754,0.3517056107521057,0.3723495900630951,0.573645830154419,0.569084107875824,0.37601438164711,0.5676294565200806,0.41601961851119995
