,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
a_level,0.3062651485204697,0.3105532467365265,0.10131252538412809,0.34996090233325955,0.3478911563754082,0.36019596159458167,0.33196979314088826,0.27162391096353533,0.39117288440465936,0.22981233075261118
aaa,0.4020466208457947,0.5556483864784241,0.10454726219177246,0.14213471114635468,0.4656408429145813,0.6064491271972656,0.5815457701683044,0.47461435198783875,0.4894236624240875,0.38634252548217773
aaaand,0.2986385256052017,0.3648860275745392,0.08022100776433945,0.20054344683885572,0.3906840205192566,0.3780472069978714,0.4176712960004807,0.28013575375080113,0.35871365666389465,0.284486486017704
aaliyah,0.2339079404482618,0.12471293993294238,0.359559937287122,0.07227426916360856,0.12371333800256251,0.06780758956447244,0.12066005878150463,0.11176618374884129,0.10621056538075209,0.16878201545914634
aaron,0.5149996876716614,0.6617736220359802,0.09237886965274811,0.1989293098449707,0.6112504601478577,0.7072556614875793,0.7189934849739075,0.6116326451301575,0.6614087224006653,0.43729445338249207
aback,0.5356766581535339,0.7245069146156311,0.10848089307546616,0.2792738974094391,0.6209203004837036,0.754777193069458,0.808576226234436,0.624544084072113,0.7452992796897888,0.49974963068962097
abacus,0.22413649111986161,0.20400663614273074,0.2035535179078579,0.2309827759861946,0.22095868289470674,0.13852157667279244,0.16592695713043215,0.19434031546115876,0.19465968757867813,0.21488512605428695
abalone,0.4389578551054001,0.3522085100412369,0.35033329129219054,0.27514041066169737,0.35938969254493713,0.2927393421530724,0.31378595978021623,0.29293418973684315,0.32690093517303465,0.30398932099342346
abandon,0.5768004059791565,0.7221733331680298,0.13964176177978516,0.24967429041862488,0.6200236678123474,0.7204270958900452,0.7742454409599304,0.6856579184532166,0.7129724025726318,0.47493743896484375
abby,0.5038040280342102,0.6804506182670593,0.09344606101512909,0.23189595341682434,0.5890341401100159,0.651912271976471,0.6998557448387146,0.594022274017334,0.6163896322250366,0.46230342984199524
abc,0.4214182198047638,0.4425620436668396,0.1086830198764801,0.2751149833202362,0.43389686942100525,0.39026784896850586,0.41686150431632996,0.38239791989326477,0.37876540422439575,0.40307000279426575
abd,0.4948861598968506,0.6391180157661438,0.09478786587715149,0.20912310481071472,0.5298094153404236,0.7158929109573364,0.6235202550888062,0.5950049161911011,0.5939043760299683,0.44341206550598145
abe,0.4992273151874542,0.7413921356201172,0.1047637015581131,0.23871834576129913,0.5789985060691833,0.7403693795204163,0.7718003988265991,0.6142463684082031,0.6907074451446533,0.5044144988059998
abhorrent,0.23084420971572397,0.29753543362021445,0.05156858768314122,0.2292217768728733,0.24763433635234833,0.2607011340558529,0.30149578377604486,0.26916843354701997,0.2960893400013447,0.2073268335312605
abide,0.29603829979896545,0.2918796524405479,0.19441342428326608,0.12336331531405448,0.2804907575249672,0.3029659196734429,0.30788683444261555,0.2627614036202431,0.3217209577560425,0.27154245525598525
ability,0.5247803330421448,0.6989351511001587,0.10244753211736679,0.25079938769340515,0.5691642761230469,0.8328970670700073,0.7870295643806458,0.6436845064163208,0.764650821685791,0.4545731544494629
abit,0.3095397412776947,0.3598785251379013,0.15308191776275634,0.24873280972242356,0.3627786457538605,0.4095448315143585,0.36035216450691226,0.35307220220565794,0.37469061315059665,0.2668767005205155
abject,0.26277919411659245,0.3632669001817703,0.09276416599750517,0.22616756707429886,0.32198086977005,0.3716875284910202,0.3584633350372315,0.34549201130867,0.37273587882518766,0.23566447943449023
able,0.49268579483032227,0.6534681916236877,0.06819625198841095,0.233474463224411,0.5217133164405823,0.8758572340011597,0.7305799722671509,0.6144550442695618,0.721260666847229,0.44142651557922363
abnormally,0.4171128451824188,0.3864546060562134,0.27402375675737856,0.27346049845218656,0.40152854323387144,0.3671801000833511,0.4244624674320221,0.36420584470033646,0.3759510815143585,0.3291532933712006
abominable,0.2651738815009594,0.28405024521052835,0.14937120401300488,0.23591389656066894,0.25833965353667737,0.22533882297575475,0.26230847649276257,0.22215354815125465,0.20814576940611004,0.1887384233996272
