,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
memory,0.3376166772169143,0.18903197370978964,0.2604073897225179,0.33726985279480054,0.25555285181735404,0.3086718770138478,0.4072314698170213,0.3288025157843411,0.3928688322813248,0.28457104455092247
gastronomic,0.3643571746771788,0.25489622328260586,0.34442022550074425,0.3494991280811577,0.3783425898335022,0.3100453902922734,0.3229129204682513,0.23897952673596132,0.11032032606688125,0.43444812921312176
manicure,0.19554297552746322,0.20003443790426553,0.19671160739840285,0.27783235383492483,0.4344891145715977,0.3048038737409059,0.4493501773778046,0.30649026278416475,0.3595854692792186,0.2865954399261705
pointless,0.27223073883323845,0.38715160031520124,0.32113766288554363,0.3734042686361243,0.24339278137714293,0.3103492700114286,0.292065478477693,0.23151195572338132,0.3106341723365644,0.4329683051187841
frangria,0.3471420002283618,0.34590950809238824,0.1426213484110785,0.27563664156616896,0.46695317315691,0.3798518269695872,0.37842674203619636,0.2841094677474972,0.40758191329845933,0.45440256203124535
freshness,0.372901849000897,0.20297915106440084,0.518421682562699,0.3040471631714731,0.24674088443273498,0.15925070736456648,0.4036129109919316,0.27613303047679133,0.27725087763732265,0.32950297750513474
meager,0.35162259597470114,0.14743440014876127,0.32418307500586274,0.1898101478202301,0.41838670320155236,0.1877007828173246,0.4962676940834129,0.2793039679778259,0.3829682125025267,0.3813069749618421
zip,0.33509065338315863,0.2731359423532295,0.1735075019862908,0.22799587641194027,0.31464760545536596,0.18745918507987408,0.2500674952764004,0.25085983783449417,0.39288339115199694,0.3212251025807829
chewiness,0.33095488088269404,0.1868532699169964,0.2166672607731505,0.3824336144683915,0.42374787663590185,0.27201826521860045,0.44304390903028956,0.49339797569162464,0.2756861753571107,0.33238922861461445
minimum_wage,0.20505823851713864,0.3797773566381569,0.3234789967323924,0.4225822319201926,0.3043833985478314,0.33045358257942375,0.2707849213212066,0.11529500174058965,0.44149467799825665,0.42594078169107363
krispie,0.18225375763300966,0.2161778850848387,0.31794553512288193,0.14502285914186672,0.39369799646652676,0.17709273129121203,0.35009119946403777,0.38954848997990454,0.24576759310875876,0.4475562501307337
cub,0.27678173954207214,0.29072382524707885,0.2571687215460595,0.2634633076924254,0.2714552013581557,0.33912335265645266,0.3042738825710492,0.36321770428887445,0.34073783161359006,0.4373475559475619
international,0.2942500363029642,0.21292310892384386,0.1928284803505599,0.39007853351629634,0.3345219317981247,0.43017328667015936,0.28525210731336537,0.07081266021921556,0.2197823912148797,0.47121781845653693
dissapointe,0.5128263185675096,0.30256222256837134,0.21510579884514203,0.31532463258668914,0.38263306025886956,0.33930537066534694,0.38411038202494097,0.43086674568451194,0.30030613211087903,0.4271413025680627
hardcore,0.23698680848632087,0.4259622623322228,0.346646457755296,0.231962299835639,0.24211885592893734,0.444164771427964,0.3058232247420094,0.3971559361432886,0.46771092048460117,0.40155469913257114
commonly,0.36214488581173104,0.2982383643872387,0.3666911413757698,0.4482238929397609,0.3330788289800923,0.31646879237296793,0.46247933368732813,0.47013460664336915,0.2252937403453582,0.4091564110431003
pizza_pizza,0.18571714903826045,0.37270055749746256,0.2560851228719007,0.3463882615683108,0.25511044198991006,0.3290266857745233,0.2995758680925392,0.1694489795697071,0.29715745361932977,0.4274612459335271
creamsicle,0.23411101970201037,0.278330302536123,0.2819655731524222,0.22859956551938468,0.553353427802917,0.29782132480145285,0.31820322684314,0.2109254210418915,0.2912540962559402,0.4654611982549938
